sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,35-44,4.0,2.0,1.0,10.0,4.0,5.999999999999999,7.0,5.5,4.0,5.0,7.0,8.6,9.625,5.5,1.0,7.2,6.25,4.8076923076923075,8.0,3.25,2.8,5.5,3.25,1.0,6.3999999999999995,7.0,1.0,8.2,2.8,5.0,4.6,2.1999999999999997,5.5,1.0,4.0,1.0,10.0,3.25,3.25,4.0,10.0,10.0,7.75,1.0,5.5,5.0,5.846153846153847,5.0,1.0,7.428571428571428,10.0,1.0,6.210526315789474,5.0,1.0,1.0,7.0,2.5
2.0,25-34,1.0,2.0,5.999999999999999,5.0,7.0,3.0,1.0,7.75,7.0,5.0,4.0,8.0,8.875,5.5,2.8,6.6,4.0,6.884615384615386,1.0,3.25,8.2,5.5,6.25,1.0,6.3999999999999995,7.0,4.0,8.2,2.8,5.0,6.3999999999999995,2.1999999999999997,3.25,3.25,7.0,1.0,1.0,5.5,6.625,1.0,7.0,5.5,7.75,5.5,2.9285714285714284,5.5,8.615384615384615,5.0,1.0,6.142857142857142,10.0,4.0,5.736842105263158,5.0,1.0,1.0,4.0,2.5
2.0,45-54,1.0,2.0,7.0,5.0,5.5,1.0,7.0,7.75,1.0,2.8,1.9999999999999998,2.6000000000000005,3.625,1.0,2.8,7.4,6.0,8.26923076923077,1.0,1.0,2.8,10.0,7.75,1.0,8.2,10.0,4.0,8.2,1.0,6.666666666666667,10.0,4.0,2.125,1.0,8.5,6.142857142857142,7.75,7.75,5.5,7.0,7.0,1.0,7.75,1.0,1.0,4.0,10.0,4.2,1.0,3.571428571428572,10.0,7.0,9.526315789473683,6.25,1.0,1.0,1.0,3.25
1.0,45-54,1.0,2.0,1.0,5.0,7.0,1.0,4.0,10.0,1.0,3.8,7.0,6.3999999999999995,7.75,1.0,4.6,6.799999999999999,4.5,5.846153846153847,8.0,1.0,2.8,1.0,5.5,1.0,6.3999999999999995,10.0,1.0,2.8,2.8,6.0,10.0,7.0,6.625,3.25,7.0,2.2857142857142856,1.0,3.25,3.25,7.0,1.0,5.5,7.75,2.5,1.0,4.0,10.0,3.4,1.0,7.428571428571428,10.0,7.0,7.63157894736842,4.5,1.75,1.75,1.0,3.25
1.0,65+,1.0,2.0,8.0,6.0,4.75,1.0,7.0,5.5,4.0,1.8,4.0,2.8000000000000003,3.625,1.0,1.0,10.0,7.5,7.230769230769232,4.0,3.25,2.8,10.0,4.75,1.0,8.2,8.5,1.0,2.8,2.8,6.333333333333333,10.0,5.8,6.625,3.25,7.75,3.571428571428571,7.75,3.25,7.75,7.0,7.0,5.5,7.75,1.0,1.0,6.0,10.0,5.0,1.0,6.142857142857142,10.0,8.5,9.052631578947368,5.5,7.0,7.75,1.0,2.5
1.0,19-24,1.0,2.0,5.999999999999999,5.0,4.75,1.0,7.0,5.5,1.0,3.4,5.0,6.2,5.875,5.5,1.0,10.0,8.25,6.538461538461538,9.0,1.0,1.0,5.5,4.75,1.0,8.2,8.5,1.0,1.0,1.0,5.0,10.0,5.199999999999999,3.25,1.0,4.75,3.571428571428571,10.0,1.0,4.375,10.0,7.0,5.5,7.75,4.0,1.0,4.0,4.807692307692308,6.0,1.0,7.428571428571428,10.0,4.0,9.526315789473683,5.0,3.25,4.75,1.0,1.0
2.0,25-34,1.0,2.0,3.0,5.0,7.0,1.0,4.0,5.5,4.0,4.4,4.0,2.6000000000000005,4.375,5.5,4.6,8.4,4.75,8.615384615384617,7.0,1.0,8.2,10.0,7.0,1.0,8.2,7.0,4.0,8.2,2.8,7.666666666666667,8.2,2.8000000000000003,3.25,3.25,9.25,2.2857142857142856,10.0,5.5,6.625,7.0,7.0,10.0,7.75,1.0,6.785714285714285,1.0,8.961538461538463,5.6,1.0,6.142857142857142,10.0,1.0,7.63157894736842,5.25,4.75,4.75,1.0,1.7499999999999998
2.0,19-24,1.0,2.0,5.0,2.0,6.25,8.0,7.0,5.5,4.0,4.2,1.9999999999999998,4.6000000000000005,6.625,10.0,2.8,8.4,4.0,8.26923076923077,5.0,3.25,10.0,5.5,6.25,1.0,6.3999999999999995,7.0,4.0,10.0,2.8,5.666666666666668,10.0,2.8000000000000003,1.0,1.0,6.25,1.0,10.0,1.0,6.625,7.0,10.0,5.5,7.75,5.5,1.0,4.0,8.615384615384615,2.6,1.0,6.142857142857142,10.0,2.5,5.263157894736842,5.25,1.0,1.0,1.0,3.25
2.0,25-34,1.0,3.0,1.0,3.0,5.5,3.0,4.0,7.75,4.0,1.0,5.0,5.6,7.0,5.5,2.8,8.8,5.75,5.500000000000001,7.0,1.0,1.0,10.0,2.5,1.0,10.0,7.0,1.0,1.0,1.0,3.0,6.3999999999999995,3.4,5.5,3.25,1.75,1.0,4.375,6.625,6.625,7.0,7.0,10.0,7.000000000000001,2.5,1.0,3.5,8.26923076923077,2.0,1.0,7.428571428571428,10.0,2.5,6.684210526315789,1.25,1.0,1.0,4.0,3.25
1.0,35-44,2.0,3.0,1.0,3.0,7.75,3.0,1.0,7.75,4.0,1.2,5.0,5.6,6.25,1.0,2.8,8.8,5.75,5.500000000000001,7.0,1.0,2.8,10.0,5.5,1.0,8.2,7.0,1.0,2.8,1.0,3.0,6.3999999999999995,3.4,5.5,3.25,1.75,1.0,4.375,6.625,6.625,7.0,7.0,5.5,7.000000000000001,2.5,1.0,3.5,8.26923076923077,2.2,1.0,4.857142857142858,10.0,2.5,6.684210526315789,1.25,1.0,1.0,4.0,4.75
1.0,35-44,2.0,3.0,1.0,3.0,5.5,3.0,4.0,5.5,4.0,1.2,5.0,5.6,7.0,5.5,2.8,8.8,5.75,5.500000000000001,7.0,1.0,1.0,10.0,2.5,1.0,10.0,7.0,1.0,1.0,1.0,3.0,6.3999999999999995,3.4,5.5,3.25,4.75,1.0,4.375,6.625,6.625,7.0,7.0,10.0,7.000000000000001,2.5,1.0,3.5,8.26923076923077,2.2,1.0,7.428571428571428,10.0,2.5,6.684210526315789,1.25,1.0,1.0,4.0,3.25
2.0,35-44,1.0,3.0,5.999999999999999,3.0,7.75,1.9999999999999998,1.0,7.75,4.0,2.4,5.0,6.2,6.625,5.5,2.8,8.8,1.0,5.846153846153847,7.0,1.0,2.8,10.0,4.75,1.0,6.3999999999999995,5.5,4.0,1.0,8.2,3.333333333333334,10.0,5.199999999999999,1.0,1.0,4.75,1.0,5.5,4.375,10.0,10.0,10.0,10.0,5.500000000000001,5.5,1.0,5.0,6.884615384615386,2.6,1.0,7.428571428571428,10.0,4.0,7.157894736842105,3.25,1.0,1.0,4.0,1.7499999999999998
2.0,25-34,1.0,3.0,1.0,1.0,9.25,1.0,10.0,3.25,4.0,1.2,4.0,7.0,7.375,5.5,2.8,8.8,8.5,5.500000000000001,5.0,3.25,8.2,1.0,7.75,1.0,2.8,7.0,1.0,2.8,2.8,6.666666666666667,8.2,6.3999999999999995,7.75,7.75,6.25,1.0,2.125,3.25,6.625,7.0,4.0,10.0,4.75,8.5,5.5,1.5,8.961538461538463,6.2,1.0,8.714285714285715,1.0,7.0,8.105263157894736,1.25,1.0,1.75,4.0,7.75
2.0,35-44,1.0,3.0,3.0,8.0,6.25,3.0,4.0,7.75,1.0,2.6,1.0,3.0,4.375,1.0,2.8,8.0,5.75,8.615384615384617,4.0,1.0,1.0,10.0,4.0,1.0,6.3999999999999995,10.0,1.0,1.0,2.8,7.0,10.0,8.2,2.125,3.25,4.0,1.0,1.0,3.25,6.625,10.0,4.0,5.5,6.25,2.5,1.6428571428571428,3.5,8.26923076923077,2.2,1.0,8.714285714285715,5.5,2.5,5.263157894736842,5.0,1.0,1.75,1.0,4.75
2.0,35-44,2.0,3.0,7.0,1.0,7.75,1.9999999999999998,1.0,7.75,4.0,3.6,5.999999999999999,6.2,6.625,5.5,10.0,1.0,6.25,5.846153846153847,7.0,1.0,2.8,10.0,4.75,1.0,6.3999999999999995,5.5,4.0,1.0,8.2,4.0,10.0,5.199999999999999,1.0,3.25,5.5,1.0,5.5,4.375,7.75,10.0,10.0,10.0,6.25,4.0,2.9285714285714284,5.0,7.230769230769232,3.6,1.0,7.428571428571428,10.0,4.0,6.684210526315789,4.25,1.0,1.0,4.0,1.7499999999999998
1.0,35-44,2.0,3.0,1.0,1.0,9.25,1.0,10.0,3.25,4.0,1.2,4.0,7.0,7.375,1.0,2.8,8.8,5.5,5.500000000000001,8.0,3.25,8.2,1.0,7.75,1.0,2.8,7.0,1.0,2.8,2.8,6.666666666666667,8.2,4.6000000000000005,7.75,7.75,6.25,1.0,2.125,3.25,6.625,7.0,7.0,10.0,4.75,8.5,5.5,1.5,8.961538461538463,5.6,1.0,8.714285714285715,1.0,5.5,8.105263157894736,1.25,1.0,1.0,4.0,7.75
1.0,55-64,1.0,3.0,1.0,3.0,7.75,3.0,1.0,7.75,4.0,1.2,5.0,5.6,7.0,1.0,2.8,8.8,5.75,5.500000000000001,7.0,1.0,2.8,10.0,5.5,1.0,8.2,7.0,4.0,2.8,1.0,3.0,6.3999999999999995,3.4,5.5,3.25,1.75,1.0,4.375,6.625,6.625,7.0,7.0,10.0,7.000000000000001,2.5,1.0,3.5,8.26923076923077,2.2,1.0,6.142857142857142,10.0,2.5,6.684210526315789,1.25,1.0,1.0,4.0,4.75
1.0,55-64,1.0,3.0,7.0,1.0,7.75,1.9999999999999998,7.0,5.5,4.0,3.6,5.0,5.999999999999999,6.625,5.5,10.0,1.0,6.25,5.846153846153847,7.0,1.0,2.8,10.0,5.5,1.0,10.0,5.5,4.0,1.0,8.2,4.0,10.0,5.199999999999999,1.0,3.25,4.75,1.0,3.25,4.375,7.75,10.0,10.0,10.0,6.25,4.0,2.9285714285714284,5.0,7.230769230769232,3.6,1.0,8.714285714285715,1.0,4.0,7.157894736842105,4.25,1.0,1.0,4.0,3.25
2.0,35-44,3.0,2.0,7.0,6.0,6.25,1.0,7.0,5.5,1.0,5.0,5.0,5.4,4.75,5.5,2.8,8.8,2.5,7.923076923076924,7.0,3.25,10.0,10.0,10.0,1.0,8.2,7.0,1.0,10.0,2.8,5.0,10.0,1.5999999999999999,3.25,1.0,4.0,2.2857142857142856,7.75,3.25,4.375,4.0,7.0,10.0,7.75,1.0,4.2142857142857135,3.0,8.615384615384615,5.0,1.0,4.857142857142858,10.0,1.0,8.105263157894736,5.0,3.25,4.75,4.0,3.25
1.0,19-24,4.0,2.0,5.0,8.0,3.25,4.0,4.0,7.75,1.0,6.2,4.0,5.4,3.25,1.0,1.0,6.799999999999999,6.0,6.192307692307693,1.0,3.25,8.2,10.0,4.75,1.0,10.0,8.5,10.0,1.0,1.0,3.6666666666666665,10.0,4.6000000000000005,3.25,7.75,3.25,7.428571428571429,5.5,3.25,4.375,7.0,7.0,5.5,7.75,1.0,1.0,4.0,6.53846153846154,3.0,1.0,6.142857142857142,1.0,1.0,4.31578947368421,2.25,4.0,9.25,5.5,2.5
2.0,65+,1.0,2.0,10.0,6.0,2.5,3.0,1.0,10.0,1.0,5.0,7.0,3.8,6.25,1.0,6.3999999999999995,8.4,6.25,2.730769230769231,4.0,1.0,1.0,5.5,1.0,1.0,4.6,10.0,4.0,1.0,1.0,5.0,10.0,10.0,1.0,1.0,5.5,2.2857142857142856,3.25,7.75,1.0,7.0,7.0,1.0,7.75,1.0,1.6428571428571428,5.5,4.115384615384616,5.0,1.0,2.285714285714285,10.0,10.0,5.736842105263158,6.25,1.0,1.75,7.0,5.5
1.0,35-44,1.0,2.0,4.0,4.0,6.25,1.0,7.0,3.25,7.0,1.8,4.0,5.199999999999999,6.25,1.0,2.8,4.6,4.75,4.8076923076923075,5.0,1.0,8.2,10.0,7.0,1.0,8.2,10.0,4.0,2.8,2.8,4.0,8.2,8.2,2.125,1.0,7.0,1.0,2.125,5.5,3.25,10.0,4.0,5.5,7.75,1.0,2.9285714285714284,3.5,4.807692307692308,1.4,1.0,6.142857142857142,1.0,7.0,5.736842105263158,3.5,1.0,1.0,1.0,4.0
2.0,19-24,1.0,2.0,3.0,4.0,4.0,3.0,4.0,7.75,1.0,5.6,5.0,6.3999999999999995,7.0,1.0,2.8,6.2,5.25,4.8076923076923075,1.0,5.5,2.8,5.5,6.25,1.0,8.2,10.0,4.0,2.8,2.8,5.333333333333333,8.2,6.3999999999999995,2.125,5.5,4.0,1.0,7.75,2.125,4.375,1.0,1.0,5.5,7.75,1.0,1.0,4.0,6.53846153846154,4.4,1.0,7.428571428571428,1.0,2.5,3.8421052631578947,7.25,1.0,4.0,7.0,5.5
2.0,35-44,1.0,2.0,4.0,4.0,4.75,1.0,7.0,3.25,4.0,1.8,5.0,4.200000000000001,6.25,1.0,2.8,3.6,4.75,5.846153846153847,5.999999999999999,1.0,8.2,10.0,7.0,1.0,8.2,10.0,4.0,2.8,2.8,3.6666666666666665,8.2,8.2,4.375,1.0,7.0,1.0,2.125,5.5,4.375,10.0,4.0,5.5,7.75,1.0,2.9285714285714284,3.5,7.923076923076923,1.2,1.0,6.142857142857142,1.0,7.0,5.736842105263158,4.25,1.0,1.0,1.0,4.0
1.0,25-34,4.0,2.0,3.0,4.0,4.75,1.0,4.0,7.75,4.0,1.4,7.0,6.6,7.0,1.0,2.8,5.4,5.0,4.8076923076923075,1.0,7.75,8.2,5.5,6.25,1.0,8.2,10.0,1.0,2.8,2.8,1.6666666666666667,1.0,7.0,2.125,1.0,7.0,1.0,1.0,6.625,3.25,10.0,7.0,1.0,7.75,1.0,2.2857142857142856,3.5,6.1923076923076925,2.6,1.0,6.142857142857142,1.0,4.0,5.736842105263158,3.25,1.0,1.0,2.5,4.0
1.0,35-44,1.0,2.0,4.0,4.0,6.25,1.0,4.0,7.75,4.0,1.4,7.0,6.6,7.375,1.0,2.8,4.6,5.0,5.153846153846154,4.0,1.0,8.2,5.5,6.25,1.0,8.2,10.0,4.0,2.8,2.8,4.333333333333333,10.0,7.6000000000000005,2.125,1.0,5.5,1.0,1.0,6.625,3.25,10.0,7.0,1.0,7.75,1.0,2.2857142857142856,3.5,6.1923076923076925,1.4,1.0,6.142857142857142,1.0,4.0,5.736842105263158,3.5,1.0,1.0,2.5,4.0
2.0,35-44,3.0,2.0,1.0,7.0,4.75,7.0,4.0,7.75,1.0,5.8,3.0,3.0,4.375,1.0,1.0,7.4,6.25,6.538461538461538,7.0,3.25,8.2,5.5,4.0,1.0,6.3999999999999995,5.5,7.0,1.0,2.8,4.0,4.6,4.6000000000000005,2.125,1.0,7.0,3.571428571428571,5.5,2.125,4.375,7.0,4.0,1.0,7.75,1.0,1.0,4.5,6.884615384615386,3.4,1.0,6.142857142857142,1.0,8.5,7.157894736842105,5.0,3.25,9.25,1.0,1.7499999999999998
1.0,45-54,1.0,2.0,1.0,10.0,3.25,1.0,1.0,10.0,1.0,6.0,1.0,2.8000000000000003,5.125,1.0,4.6,9.0,4.5,5.846153846153847,5.999999999999999,5.5,8.2,10.0,4.75,1.0,6.3999999999999995,5.5,7.0,1.0,2.8,3.6666666666666665,10.0,4.6000000000000005,5.5,5.5,3.25,7.428571428571429,5.5,2.125,5.5,7.0,4.0,5.5,7.75,1.0,1.0,3.5,7.923076923076923,3.0,1.0,6.142857142857142,1.0,8.5,7.157894736842105,4.75,4.75,10.0,1.0,4.0
1.0,45-54,3.0,4.0,1.0,5.0,6.25,1.0,7.0,3.25,7.0,4.6,4.0,4.4,4.0,1.0,1.0,7.6,9.0,7.923076923076924,9.0,1.0,8.2,5.5,7.0,1.0,4.6,10.0,7.0,8.2,2.8,5.666666666666668,10.0,8.2,5.5,3.25,7.75,2.2857142857142856,1.0,3.25,5.5,4.0,1.0,10.0,7.75,5.5,8.071428571428571,1.0,9.307692307692308,5.8,1.0,6.142857142857142,10.0,8.5,8.105263157894736,5.5,2.5,3.25,1.0,2.5
1.0,19-24,3.0,4.0,5.999999999999999,5.0,4.75,1.0,7.0,3.25,7.0,5.0,5.0,6.2,6.625,1.0,6.3999999999999995,6.6,6.25,6.884615384615386,8.0,1.0,2.8,5.5,5.5,1.0,8.2,8.5,1.0,8.2,2.8,5.0,6.3999999999999995,7.0,5.5,5.5,4.75,1.0,10.0,5.5,4.375,7.0,1.0,1.0,7.75,1.0,1.0,7.5,10.0,5.2,10.0,6.142857142857142,10.0,5.5,9.526315789473683,5.5,2.5,3.25,7.0,4.75
2.0,19-24,3.0,4.0,5.0,10.0,5.5,1.0,4.0,7.75,4.0,2.0,4.0,4.0,4.0,1.0,2.8,6.4,7.75,6.884615384615386,10.0,3.25,1.0,5.5,4.75,1.0,8.2,10.0,1.0,2.8,1.0,5.333333333333333,8.2,6.3999999999999995,4.375,3.25,6.25,1.0,5.5,5.5,3.25,4.0,4.0,10.0,7.75,1.0,5.5,4.0,7.230769230769232,2.6,1.0,6.142857142857142,10.0,1.0,7.63157894736842,5.5,2.5,3.25,4.0,4.75
2.0,25-34,1.0,4.0,9.0,5.0,7.75,4.0,1.0,7.75,4.0,1.8,5.0,5.4,7.75,1.0,2.8,8.0,5.0,7.576923076923078,10.0,1.0,10.0,5.5,7.75,1.0,4.6,8.5,4.0,10.0,2.8,5.0,10.0,4.6000000000000005,1.0,1.0,2.5,1.0,10.0,1.0,6.625,4.0,7.0,10.0,7.75,5.5,6.142857142857142,6.0,8.615384615384615,3.4,1.0,6.142857142857142,10.0,2.5,5.263157894736842,4.75,1.0,1.0,4.0,4.0
1.0,35-44,1.0,4.0,5.0,6.0,5.5,3.0,1.0,7.75,4.0,5.0,5.999999999999999,2.8000000000000003,5.5,5.5,1.0,9.2,3.5,6.538461538461538,8.0,1.0,1.0,5.5,2.5,1.0,6.3999999999999995,10.0,1.0,1.0,1.0,5.0,10.0,8.8,2.125,1.0,4.75,1.0,7.75,3.25,3.25,7.0,1.0,5.5,7.75,1.0,1.0,5.5,5.846153846153847,5.0,1.0,3.571428571428572,10.0,1.0,8.578947368421053,5.0,2.5,3.25,1.0,1.7499999999999998
1.0,65+,2.0,4.0,7.0,6.0,6.25,1.0,4.0,7.75,1.0,5.4,3.0,1.4,1.75,1.0,2.8,5.8,10.0,6.884615384615386,3.0,1.0,1.0,5.5,3.25,1.0,10.0,10.0,1.0,1.0,1.0,5.666666666666668,10.0,9.399999999999999,8.875,5.5,10.0,3.571428571428571,1.0,7.75,8.875,4.0,1.0,5.5,7.75,1.0,1.0,6.0,8.615384615384615,5.0,1.0,4.857142857142858,10.0,4.0,9.052631578947368,6.25,5.5,6.25,1.0,1.0
2.0,25-34,1.0,4.0,4.0,6.0,6.25,1.9999999999999998,4.0,7.75,4.0,5.0,4.0,5.0,4.375,1.0,1.0,9.2,3.5,8.26923076923077,7.0,3.25,8.2,5.5,7.0,1.0,8.2,8.5,4.0,8.2,2.8,5.333333333333333,10.0,7.0,1.0,1.0,5.5,4.857142857142857,7.75,5.5,6.625,7.0,7.0,5.5,7.75,1.0,1.6428571428571428,2.0,4.115384615384616,3.4,1.0,4.857142857142858,10.0,5.5,6.684210526315789,5.25,1.0,1.0,4.0,2.5
1.0,35-44,3.0,4.0,5.999999999999999,6.0,4.75,1.0,1.0,7.75,4.0,3.0,1.0,2.8000000000000003,3.25,1.0,1.0,6.4,6.5,9.30769230769231,5.0,3.25,8.2,5.5,5.5,1.0,8.2,10.0,1.0,2.8,1.0,5.666666666666668,10.0,7.6000000000000005,3.25,1.0,7.75,2.2857142857142856,5.5,3.25,7.75,1.0,7.0,5.5,7.75,2.5,6.142857142857142,5.5,8.615384615384615,4.0,1.0,4.857142857142858,10.0,5.5,9.526315789473683,4.75,2.5,2.5,1.0,3.25
2.0,45-54,1.0,4.0,8.0,1.0,5.5,1.0,1.0,7.75,4.0,5.6,1.0,3.0,1.0,1.0,1.0,7.2,4.0,8.615384615384617,10.0,3.25,8.2,10.0,7.75,1.0,6.3999999999999995,8.5,1.0,10.0,1.0,5.0,10.0,5.8,2.125,1.0,4.75,4.857142857142857,5.5,5.5,6.625,10.0,1.0,10.0,7.75,1.0,2.2857142857142856,6.5,8.26923076923077,5.0,1.0,3.571428571428572,10.0,10.0,8.105263157894736,6.25,1.0,1.0,1.0,3.25
2.0,19-24,3.0,4.0,1.9999999999999998,2.0,5.5,1.0,7.0,3.25,4.0,3.0,10.0,7.0,10.0,1.0,1.0,7.2,6.75,5.153846153846154,1.0,1.0,2.8,5.5,3.25,1.0,6.3999999999999995,8.5,1.0,1.0,1.0,4.666666666666667,2.8,7.0,1.0,1.0,4.0,1.0,10.0,10.0,5.5,10.0,7.0,1.0,7.75,4.0,8.714285714285714,7.5,8.961538461538463,5.0,1.0,8.714285714285715,10.0,4.0,5.736842105263158,4.25,4.0,5.5,7.0,2.5
1.0,19-24,3.0,1.0,1.0,6.0,1.75,1.9999999999999998,4.0,5.5,4.0,7.2,5.0,6.3999999999999995,4.75,1.0,1.0,5.4,5.0,5.500000000000001,4.0,3.25,2.8,1.0,1.0,1.0,10.0,7.0,7.0,1.0,1.0,6.666666666666667,10.0,7.0,1.0,1.0,1.0,2.2857142857142856,5.5,5.5,5.5,10.0,10.0,1.0,7.75,1.0,3.5714285714285716,10.0,10.0,6.2,1.0,2.285714285714285,1.0,4.0,5.263157894736842,6.5,9.25,10.0,4.0,2.5
1.0,25-34,3.0,1.0,1.9999999999999998,5.0,1.75,3.0,1.0,5.5,7.0,1.2,4.0,6.2,4.375,1.0,1.0,7.0,4.25,5.846153846153847,10.0,1.0,2.8,1.0,4.75,1.0,6.3999999999999995,4.0,1.0,1.0,1.0,4.0,1.0,5.8,5.5,1.0,2.5,1.0,7.75,8.875,3.25,7.0,1.0,5.5,7.75,1.0,10.0,2.5,9.307692307692308,2.0,10.0,7.428571428571428,1.0,10.0,4.7894736842105265,3.5,1.75,1.75,7.0,5.5
2.0,25-34,3.0,1.0,8.0,7.0,4.75,1.0,4.0,10.0,1.0,1.4,1.0,3.8,4.0,5.5,1.0,7.8,6.0,6.192307692307693,10.0,1.0,1.0,1.0,3.25,1.0,8.2,5.5,1.0,1.0,1.0,4.0,1.0,5.8,5.5,5.5,5.5,1.0,4.375,7.75,6.625,4.0,1.0,5.5,7.75,5.5,1.6428571428571428,4.5,8.961538461538463,1.0,10.0,8.714285714285715,10.0,10.0,7.157894736842105,1.5,1.0,1.75,1.0,5.5
2.0,25-34,3.0,1.0,7.0,5.0,3.25,1.0,1.0,10.0,1.0,6.0,5.999999999999999,4.4,4.0,10.0,1.0,5.4,1.0,6.538461538461538,1.0,1.0,1.0,10.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,5.333333333333333,10.0,4.0,1.0,1.0,5.5,2.2857142857142856,5.5,5.5,5.5,10.0,7.0,1.0,7.75,1.0,3.5714285714285716,10.0,10.0,6.6,1.0,10.0,1.0,1.0,5.736842105263158,6.0,1.0,1.0,4.0,1.0
2.0,19-24,3.0,1.0,1.0,5.0,1.0,1.0,7.0,5.5,4.0,6.0,4.0,7.200000000000001,8.5,1.0,2.8,5.8,5.0,5.846153846153847,1.0,3.25,2.8,1.0,4.0,1.0,2.8,10.0,1.0,2.8,2.8,6.333333333333333,8.2,10.0,1.0,1.0,4.0,1.0,1.0,10.0,5.5,10.0,7.0,5.5,4.75,1.0,2.9285714285714284,6.0,5.846153846153847,7.0,10.0,10.0,1.0,1.0,4.7894736842105265,5.0,1.0,1.0,4.0,3.25
2.0,35-44,3.0,1.0,5.999999999999999,2.0,4.0,1.0,4.0,5.5,4.0,1.0,1.9999999999999998,3.0,4.0,5.5,2.8,2.0,6.75,6.192307692307693,10.0,1.0,2.8,1.0,5.5,1.0,6.3999999999999995,5.5,4.0,2.8,1.0,4.0,1.0,5.8,3.25,3.25,5.5,1.0,3.25,7.75,3.25,4.0,7.0,5.5,7.75,1.0,3.5714285714285716,3.0,8.961538461538463,1.0,1.0,3.571428571428572,1.0,10.0,6.684210526315789,1.5,1.0,1.0,7.0,3.25
1.0,19-24,3.0,1.0,10.0,7.0,5.5,1.0,4.0,5.5,4.0,5.6,7.0,6.2,6.25,10.0,1.0,7.0,6.0,5.153846153846154,4.0,1.0,2.8,10.0,1.0,1.0,2.8,7.0,7.0,2.8,1.0,5.666666666666668,2.8,7.0,1.0,1.0,4.0,1.0,5.5,5.5,6.625,10.0,10.0,1.0,4.75,1.0,3.5714285714285716,6.0,5.846153846153847,5.2,10.0,4.857142857142858,5.5,4.0,4.7894736842105265,6.5,1.0,1.0,4.0,3.25
2.0,25-34,4.0,1.0,5.0,5.0,4.0,1.0,4.0,7.75,1.0,1.0,5.999999999999999,4.200000000000001,3.625,5.5,1.0,8.2,4.25,7.230769230769232,10.0,1.0,1.0,5.5,5.5,1.0,6.3999999999999995,4.0,1.0,8.2,1.0,5.0,1.0,4.6000000000000005,1.0,3.25,4.75,1.0,3.25,10.0,4.375,7.0,7.0,1.0,7.75,4.0,3.5714285714285716,3.0,9.653846153846153,1.4,1.0,8.714285714285715,10.0,7.0,7.63157894736842,1.5,1.0,1.0,4.0,1.0
1.0,35-44,3.0,1.0,8.0,4.0,3.25,1.0,4.0,7.75,4.0,1.0,5.0,2.8000000000000003,3.625,1.0,1.0,8.2,8.0,7.576923076923078,7.0,1.0,1.0,1.0,3.25,1.0,10.0,4.0,1.0,1.0,1.0,3.6666666666666665,4.6,6.3999999999999995,3.25,3.25,5.5,2.2857142857142856,3.25,10.0,7.75,7.0,1.0,1.0,7.75,5.5,1.6428571428571428,3.0,9.307692307692308,2.0,1.0,7.428571428571428,1.0,7.0,6.210526315789474,1.75,1.75,1.75,1.0,3.25
