,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
confidence_in_international_organizations|WVS_E,-0.0006,,,0.0054,-0.0131,-0.0037,-0.0062,-0.0008,,,0.0,-0.0006,,,,,-0.0077,-0.0125,,-0.0015,-0.0153,0.0126,-0.0057,-0.0049,,,,-0.01,-0.0055,,,-0.0093,0.0075,0.0008,,,0.0025,-0.0059,0.0044,-0.0114,0.0014,0.0053,,-0.0102,,,0.0003,0.004,-0.0003,,-0.0093,,-0.0128
crime_victimization|WVS_H,,-0.013,0.0102,,0.0209,-0.0033,0.0311,0.0105,0.007,0.026,-0.0006,0.0,0.0185,-0.0108,-0.0037,-0.0429,,0.0272,,,0.0415,0.0203,0.0106,,0.0378,,,0.0332,,0.0322,0.0646,-0.009,-0.0282,-0.0164,0.0647,0.0077,,0.0048,-0.027,0.0497,0.0264,-0.0236,-0.0,0.0555,,-0.0369,,-0.0113,0.0069,,-0.0109,0.0153,0.066
democratic_system_evaluation|WVS_E,-0.0076,,,-0.0285,-0.0032,-0.0049,0.0104,-0.0109,,,,0.0185,0.0,,,,0.0193,0.0012,,-0.0059,0.0178,-0.0221,0.0067,-0.0097,,,,0.0094,-0.0307,,,0.0068,-0.0141,-0.0113,,,0.0253,0.0084,0.004,0.0283,-0.0023,-0.0097,,0.0172,,,0.0078,0.0066,-0.0137,,0.0026,,0.0126
democratic_values_importance|WVS_E,0.0038,,,-0.0016,-0.0061,0.0028,-0.0082,-0.0027,,,,-0.0108,,0.0,,,-0.0082,-0.0064,,0.0007,-0.0082,-0.0065,-0.0025,0.008,,,,-0.0084,0.0072,,,-0.0007,0.0074,0.0038,,,-0.0036,-0.0024,0.0074,-0.015,-0.0108,0.0081,,-0.0164,,,0.0107,0.0029,-0.0011,,0.0021,,-0.0149
economic_ideology|WVS_E,-0.0028,,,0.0273,-0.0056,0.0032,-0.0046,0.0071,,,,-0.0037,,,0.0,,-0.024,-0.0039,,0.0129,-0.0083,0.024,-0.0057,-0.0099,,,,-0.0051,0.0019,,,-0.0206,0.0096,0.003,,,-0.0092,-0.0106,-0.0023,-0.0186,-0.0035,0.0083,,-0.0095,,,-0.0147,-0.0025,0.011,,-0.0132,,-0.0016
electoral_integrity|WVS_E,0.018,,,-0.0008,-0.0136,-0.0003,-0.0261,-0.0023,,,,-0.0429,,,,0.0,-0.0088,-0.0226,,-0.0159,-0.0482,0.0064,-0.013,0.0298,,,,-0.0299,0.0443,,,0.0111,0.0264,0.0171,,,-0.02,-0.005,0.0152,-0.0505,-0.0016,0.0179,,-0.0424,,,0.0307,0.0049,-0.0007,,0.0067,,-0.0578
existential_threat_worry|WVS_H,,-0.0166,0.0135,,0.0191,-0.0091,0.0156,-0.0029,0.0053,0.0051,-0.0077,,0.0193,-0.0082,-0.024,-0.0088,0.0,0.0092,,,0.014,-0.0034,0.0071,,0.0393,,,0.0127,,0.0392,0.0717,0.0255,-0.0168,-0.0066,0.0438,0.0241,,0.0156,-0.0087,0.0356,0.0312,-0.02,0.0135,0.0334,,-0.0127,,-0.0037,-0.0088,,0.0104,-0.0144,0.0174
familial_duty_obligations|WVS_D,-0.0131,-0.0176,0.0164,0.0193,0.0447,0.008,0.0328,0.0154,0.0038,0.017,-0.0125,0.0272,0.0012,-0.0064,-0.0039,-0.0226,0.0092,0.0,,0.0214,,0.001,0.0153,-0.0162,0.0263,,,0.0411,-0.0035,0.0269,0.0767,0.0021,-0.0278,-0.0096,0.0713,-0.0011,-0.0071,0.0094,-0.0326,0.0446,0.0155,-0.0212,0.0019,0.0536,,-0.042,-0.0428,-0.0196,0.0137,,0.0059,0.0179,0.0709
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedom_security_tradeoff_perception|WVS_H,,-0.0011,0.0003,,0.0128,0.0119,0.0113,0.0093,0.0009,0.0113,-0.0015,,-0.0059,0.0007,0.0129,-0.0159,,0.0214,,0.0,0.0356,-0.0032,0.0072,,-0.0073,,,0.0184,,-0.003,0.0036,-0.0165,-0.0099,-0.0043,0.015,-0.0151,,-0.0028,-0.012,0.0103,-0.0166,-0.0006,-0.0099,0.0146,,-0.0197,,-0.0082,0.012,,-0.0032,0.0085,0.0417
gender_role_traditionalism|WVS_D,-0.0214,-0.0233,0.0168,0.0069,0.0516,0.0146,0.044,0.0104,0.0095,0.0293,-0.0153,0.0415,0.0178,-0.0082,-0.0083,-0.0482,0.014,,,0.0356,0.0,-0.0247,0.0259,-0.0262,0.0356,,,0.057,-0.0275,0.0563,0.102,-0.0,-0.0432,-0.0197,0.0938,0.0073,0.0073,0.016,-0.0301,0.0703,-0.0057,-0.0277,-0.0029,0.0635,,-0.0547,-0.0424,-0.0177,0.0074,,0.0114,-0.0087,0.1045
immigrant_origin_status|WVS_G,-0.0076,0.0116,0.0077,0.0748,0.0069,-0.0181,0.0085,0.032,-0.0064,0.0041,0.0126,0.0203,-0.0221,-0.0065,0.024,0.0064,-0.0034,0.001,,-0.0032,-0.0247,0.0,-0.0141,-0.0362,0.0111,,,0.0013,0.0047,-0.0473,-0.0107,,,,0.0134,-0.0207,-0.0248,-0.0168,-0.0356,-0.005,0.0734,-0.0152,0.0017,0.0374,,-0.0168,-0.07,-0.0192,0.0314,,-0.0411,0.1008,0.0293
importance_of_life_domains|WVS_A,-0.0044,-0.0082,0.0051,-0.0062,,,,0.0002,0.0034,0.0076,-0.0057,0.0106,0.0067,-0.0025,-0.0057,-0.013,0.0071,0.0153,,0.0072,0.0259,-0.0141,0.0,-0.0025,0.0106,,,0.015,-0.0067,0.0207,0.0339,0.0043,-0.0135,-0.0053,0.0258,0.0044,0.0039,0.0064,-0.0062,0.0217,-0.0041,-0.0073,0.0005,0.0181,,-0.0154,-0.006,,-0.0006,,,-0.0091,0.0236
institutional_threat_perception|WVS_H,,0.0016,-0.0047,,-0.0088,0.0048,-0.0213,-0.0121,-0.0037,-0.0207,-0.0049,,-0.0097,0.008,-0.0099,0.0298,,-0.0162,,,-0.0262,-0.0362,-0.0025,0.0,-0.0216,,,-0.0214,,-0.0027,-0.0247,0.0219,0.0126,0.0119,-0.0397,0.0012,,0.0036,0.0229,-0.0288,-0.0263,0.0153,0.003,-0.0399,,0.0255,,0.0091,-0.0114,,0.0195,-0.0309,-0.0497
international_organization_knowledge|WVS_E,-0.013,,,-0.0073,0.0261,-0.0092,0.032,0.006,,,,0.0378,,,,,0.0393,0.0263,,-0.0073,0.0356,0.0111,0.0106,-0.0216,0.0,,,0.0309,-0.0281,,,0.0125,-0.0301,-0.0158,,,0.014,0.014,-0.0262,0.0583,0.0386,-0.03,,0.064,,,-0.0328,-0.0101,-0.0015,,-0.0009,,0.0598
job_scarcity_gender_discrimination|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_nativist_preference|WVS_C,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
life_autonomy_morality_permissiveness|WVS_F,-0.0155,-0.017,0.0153,0.0155,0.0385,0.0057,0.0332,,0.0061,0.0202,-0.01,0.0332,0.0094,-0.0084,-0.0051,-0.0299,0.0127,0.0411,,0.0184,0.057,0.0013,0.015,-0.0214,0.0309,,,0.0,-0.0147,0.0336,0.0771,0.0003,-0.0302,-0.0116,0.0712,0.0022,0.0008,,,,,-0.024,0.0014,,,-0.0447,-0.044,-0.0171,,,0.0025,0.0137,0.0714
neighborhood_disorder_and_crime|WVS_H,,0.0038,0.0031,,0.0057,0.0039,-0.0161,0.0041,-0.0092,-0.0232,-0.0055,,-0.0307,0.0072,0.0019,0.0443,,-0.0035,,,-0.0275,0.0047,-0.0067,,-0.0281,,,-0.0147,0.0,-0.0266,-0.027,0.0117,0.0185,0.0165,-0.0297,-0.0141,,-0.0001,0.0027,-0.0333,0.0053,0.0095,0.0036,-0.0228,,0.0176,,-0.0061,0.0071,,0.0116,0.0186,-0.0296
offline_political_participation|WVS_E,-0.0091,,,-0.0363,0.0267,0.0004,0.0287,-0.0107,,,,0.0322,,,,,0.0392,0.0269,,-0.003,0.0563,-0.0473,0.0207,-0.0027,,,,0.0336,-0.0266,0.0,,0.0256,-0.0341,-0.0172,,,0.022,0.0229,-0.0076,0.0612,-0.0034,-0.0232,,0.0452,,,0.0027,-0.0017,-0.0157,,0.0197,,0.0464
online_political_participation|WVS_E,-0.0209,,,-0.0161,0.0793,-0.0027,0.0696,0.0145,,,,0.0646,,,,,0.0717,0.0767,,0.0036,0.102,-0.0107,0.0339,-0.0247,,,,0.0771,-0.027,,0.0,0.0367,-0.0688,-0.0262,,,0.0121,0.0348,-0.0531,0.1189,0.0538,-0.06,,0.1202,,,-0.0603,-0.0294,0.0025,,0.0205,,0.1324
outgroup_trust|WVS_G,0.0092,-0.0109,0.0072,-0.0341,0.0094,-0.0012,-0.0,-0.0089,0.0013,-0.0072,-0.0093,-0.009,0.0068,-0.0007,-0.0206,0.0111,0.0255,0.0021,,-0.0165,-0.0,,0.0043,0.0219,0.0125,,,0.0003,0.0117,0.0256,0.0367,0.0,,,0.0126,0.0165,0.001,0.0125,0.0055,0.0097,0.0009,-0.0041,0.0097,0.0005,,0.0032,0.0251,0.0019,-0.0122,,0.0184,-0.0287,-0.0111
perceived_negative_effects_of_immigration|WVS_G,0.0101,0.0155,-0.0119,0.0018,-0.0255,-0.0016,-0.0262,-0.0046,-0.0064,-0.0172,0.0075,-0.0282,-0.0141,0.0074,0.0096,0.0264,-0.0168,-0.0278,,-0.0099,-0.0432,,-0.0135,0.0126,-0.0301,,,-0.0302,0.0185,-0.0341,-0.0688,,0.0,,-0.0581,-0.0097,-0.009,-0.0108,0.0187,-0.0428,-0.0091,0.02,-0.003,-0.0418,,0.0318,0.0249,0.009,-0.0015,,-0.0041,0.0055,-0.0509
perceived_positive_effects_of_immigration|WVS_G,0.0076,0.0053,-0.0032,0.0007,-0.0071,0.0013,-0.012,-0.0012,-0.0038,-0.0102,0.0008,-0.0164,-0.0113,0.0038,0.003,0.0171,-0.0066,-0.0096,,-0.0043,-0.0197,,-0.0053,0.0119,-0.0158,,,-0.0116,0.0165,-0.0172,-0.0262,,,0.0,-0.0255,-0.0062,-0.009,-0.0032,0.0067,-0.0218,-0.0043,0.0089,-0.0001,-0.0196,,0.0124,0.0124,0.0017,0.0006,,0.0022,0.004,-0.0249
political_information_sources|WVS_E,-0.0239,,,0.0155,0.07,0.0017,0.0644,0.0222,,,,0.0647,,,,,0.0438,0.0713,,0.015,0.0938,0.0134,0.0258,-0.0397,,,,0.0712,-0.0297,,,0.0126,-0.0581,-0.0255,0.0,,0.0083,0.023,-0.0549,0.1086,0.0529,-0.0537,,0.1106,,,-0.0765,-0.029,0.0144,,0.0034,,0.1303
postmaterialist_values|WVS_E,-0.0002,,,-0.0319,0.0004,-0.0052,0.0061,-0.0102,,,,0.0077,,,,,0.0241,-0.0011,,-0.0151,0.0073,-0.0207,0.0044,0.0012,,,,0.0022,-0.0141,,,0.0165,-0.0097,-0.0062,,0.0,0.0179,0.0093,0.0056,0.0188,0.0034,-0.0087,,0.0081,,,0.0142,0.0063,-0.0161,,0.0074,,-0.0014
precautionary_security_behaviors|WVS_H,,-0.003,-0.0044,,-0.0129,-0.0044,0.0028,-0.0134,0.0067,0.0106,0.0025,,0.0253,-0.0036,-0.0092,-0.02,,-0.0071,,,0.0073,-0.0248,0.0039,,0.014,,,0.0008,,0.022,0.0121,0.001,-0.009,-0.009,0.0083,0.0179,0.0,0.0039,0.0111,0.0156,-0.0116,-0.0015,-0.0005,0.0006,,0.0008,,0.0106,-0.0164,,-0.0008,-0.0366,0.0008
religion_versus_secularism_orientation|WVS_F,-0.0004,-0.0094,0.0063,-0.0138,0.0128,0.001,0.0083,,0.0027,0.0022,-0.0059,0.0048,0.0084,-0.0024,-0.0106,-0.005,0.0156,0.0094,,-0.0028,0.016,-0.0168,0.0064,0.0036,0.014,,,,-0.0001,0.0229,0.0348,0.0125,-0.0108,-0.0032,0.023,0.0093,0.0039,0.0,,,,-0.0082,0.0042,,,-0.008,0.0026,-0.0017,,,0.0098,-0.0141,0.0121
religious_belief|WVS_F,0.0111,0.0106,-0.0149,-0.0349,-0.0316,0.0008,-0.0268,,-0.0008,-0.013,0.0044,-0.027,0.004,0.0074,-0.0023,0.0152,-0.0087,-0.0326,,-0.012,-0.0301,-0.0356,-0.0062,0.0229,-0.0262,,,,0.0027,-0.0076,-0.0531,0.0055,0.0187,0.0067,-0.0549,0.0056,0.0111,,0.0,,,0.0219,-0.0022,,,0.0354,0.0511,0.0204,,,0.006,-0.043,-0.0638
religious_exclusivism|WVS_F,-0.0216,-0.0265,0.0199,-0.0018,0.0436,0.0002,0.0477,,0.0107,0.0295,-0.0114,0.0497,0.0283,-0.015,-0.0186,-0.0505,0.0356,0.0446,,0.0103,0.0703,-0.005,0.0217,-0.0288,0.0583,,,,-0.0333,0.0612,0.1189,0.0097,-0.0428,-0.0218,0.1086,0.0188,0.0156,,,0.0,,-0.0368,0.0077,,,-0.0538,-0.048,-0.0156,,,0.0044,-0.0009,0.094
religious_practice_and_self_identification|WVS_F,-0.0062,-0.0073,0.0172,0.0347,0.021,-0.018,0.0196,,-0.0015,0.0062,0.0014,0.0264,-0.0023,-0.0108,-0.0035,-0.0016,0.0312,0.0155,,-0.0166,-0.0057,0.0734,-0.0041,-0.0263,0.0386,,,,0.0053,-0.0034,0.0538,0.0009,-0.0091,-0.0043,0.0529,0.0034,-0.0116,,,,0.0,-0.0269,0.013,,,-0.0252,-0.0525,-0.0183,,,-0.0204,0.0697,0.039
science_skepticism|WVS_I,0.0086,0.0125,-0.0131,-0.0082,-0.0245,0.0036,-0.0228,-0.0093,-0.0041,-0.0128,0.0053,-0.0236,-0.0097,0.0081,0.0083,0.0179,-0.02,-0.0212,,-0.0006,-0.0277,-0.0152,-0.0073,0.0153,-0.03,,,-0.024,0.0095,-0.0232,-0.06,-0.0041,0.02,0.0089,-0.0537,-0.0087,-0.0015,-0.0082,0.0219,-0.0368,-0.0269,0.0,-0.0062,-0.0435,,0.0275,0.0298,0.0103,-0.0059,,0.0008,-0.0145,-0.0452
science_technology_optimism|WVS_E,0.0022,,,-0.0064,0.0049,-0.0039,0.0021,-0.0001,,,,-0.0,,,,,0.0135,0.0019,,-0.0099,-0.0029,0.0017,0.0005,0.003,,,,0.0014,0.0036,,,0.0097,-0.003,-0.0001,,,-0.0005,0.0042,-0.0022,0.0077,0.013,-0.0062,0.0,0.0079,,,0.0012,-0.0015,-0.002,,0.0031,,-0.0001
sexual_and_reproductive_morality_permissiveness|WVS_F,-0.0219,-0.0243,0.0265,0.0325,0.0522,-0.0035,0.0545,,0.0089,0.0305,-0.0102,0.0555,0.0172,-0.0164,-0.0095,-0.0424,0.0334,0.0536,,0.0146,0.0635,0.0374,0.0181,-0.0399,0.064,,,,-0.0228,0.0452,0.1202,0.0005,-0.0418,-0.0196,0.1106,0.0081,0.0006,,,,,-0.0435,0.0079,0.0,,-0.0649,-0.0756,-0.0276,,,-0.0071,0.0384,0.1079
social_intolerance_outgroups|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
societal_change_attitudes|WVS_E,0.0167,,,-0.025,-0.0391,-0.0034,-0.0371,-0.0177,,,,-0.0369,,,,,-0.0127,-0.042,,-0.0197,-0.0547,-0.0168,-0.0154,0.0255,,,,-0.0447,0.0176,,,0.0032,0.0318,0.0124,,,0.0008,-0.008,0.0354,-0.0538,-0.0252,0.0275,,-0.0649,,0.0,0.0527,0.0194,-0.0157,,0.0029,,-0.0821
socioeconomic_insecurity_worry|WVS_H,,0.007,-0.016,,-0.0398,0.002,-0.0404,-0.0343,-0.0021,-0.0244,0.0003,,0.0078,0.0107,-0.0147,0.0307,,-0.0428,,,-0.0424,-0.07,-0.006,,-0.0328,,,-0.044,,0.0027,-0.0603,0.0251,0.0249,0.0124,-0.0765,0.0142,,0.0026,0.0511,-0.048,-0.0525,0.0298,0.0012,-0.0756,,0.0527,0.0,0.0285,-0.0321,,0.0231,-0.0728,-0.095
subjective_wellbeing|WVS_A,0.0042,0.0052,-0.0093,-0.0219,,,,-0.0134,0.0005,-0.0052,0.004,-0.0113,0.0066,0.0029,-0.0025,0.0049,-0.0037,-0.0196,,-0.0082,-0.0177,-0.0192,,0.0091,-0.0101,,,-0.0171,-0.0061,-0.0017,-0.0294,0.0019,0.009,0.0017,-0.029,0.0063,0.0106,-0.0017,0.0204,-0.0156,-0.0183,0.0103,-0.0015,-0.0276,,0.0194,0.0285,0.0,-0.013,,,-0.0279,-0.0342
violence_tolerance|WVS_F,-0.0041,0.0015,0.0051,0.0357,0.015,0.0017,0.009,,-0.0028,0.0033,-0.0003,0.0069,-0.0137,-0.0011,0.011,-0.0007,-0.0088,0.0137,,0.012,0.0074,0.0314,-0.0006,-0.0114,-0.0015,,,,0.0071,-0.0157,0.0025,-0.0122,-0.0015,0.0006,0.0144,-0.0161,-0.0164,,,,,-0.0059,-0.002,,,-0.0157,-0.0321,-0.013,0.0,,-0.0095,0.0404,0.0272
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,0.0061,-0.0084,0.0029,-0.0271,,,,-0.0085,0.001,-0.0055,-0.0093,-0.0109,0.0026,0.0021,-0.0132,0.0067,0.0104,0.0059,,-0.0032,0.0114,-0.0411,,0.0195,-0.0009,,,0.0025,0.0116,0.0197,0.0205,0.0184,-0.0041,0.0022,0.0034,0.0074,-0.0008,0.0098,0.006,0.0044,-0.0204,0.0008,0.0031,-0.0071,,0.0029,0.0231,,-0.0095,,0.0,-0.0319,-0.0046
voting_participation|WVS_E,-0.0065,,,0.0787,0.0195,-0.0091,0.0143,0.0381,,,,0.0153,,,,,-0.0144,0.0179,,0.0085,-0.0087,0.1008,-0.0091,-0.0309,,,,0.0137,0.0186,,,-0.0287,0.0055,0.004,,,-0.0366,-0.0141,-0.043,-0.0009,0.0697,-0.0145,,0.0384,,,-0.0728,-0.0279,0.0404,,-0.0319,0.0,0.0448
work_ethic|WVS_C,-0.0306,-0.0242,0.0271,0.0473,0.0652,0.0081,0.064,0.0314,0.009,0.0416,-0.0128,0.066,0.0126,-0.0149,-0.0016,-0.0578,0.0174,0.0709,,0.0417,0.1045,0.0293,0.0236,-0.0497,0.0598,,,0.0714,-0.0296,0.0464,0.1324,-0.0111,-0.0509,-0.0249,0.1303,-0.0014,0.0008,0.0121,-0.0638,0.094,0.039,-0.0452,-0.0001,0.1079,,-0.0821,-0.095,-0.0342,0.0272,,-0.0046,0.0448,0.0
