,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,existential_threat_worry|WVS_H,female_income_threat_to_marriage|WVS_D,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,outgroup_trust|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
democratic_system_evaluation|WVS_E,,,0.0658,-0.0544,0.0003,0.0151,,,,,0.0,,,,,0.0537,,0.0114,,-0.0395,0.0209,0.0391,,,,,,,,-0.0221,,0.0072,,,0.0615,-0.0403,,,0.0359,,,0.0421,,0.0276
democratic_values_importance|WVS_E,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_ideology|WVS_E,,,-0.0048,0.0149,0.0006,-0.0248,,,,,,,0.0,,,0.0041,,0.0113,,-0.0278,-0.0083,0.0027,,,,,,,,0.0231,,-0.026,,,-0.006,-0.0169,,,-0.0058,,,-0.0031,,-0.0124
existential_threat_worry|WVS_H,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female_income_threat_to_marriage|WVS_D,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender_role_traditionalism|WVS_D,,0.0613,0.1178,-0.0769,-0.0259,0.0223,,-0.0104,-0.0423,,0.0537,,0.0041,,,0.0,,0.0527,,-0.0718,0.0449,0.0487,,0.0753,,,-0.0484,,,-0.0141,,0.0117,,,0.1119,-0.1465,-0.0277,,0.0372,,,0.0458,,0.0818
immigrant_origin_status|WVS_G,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
importance_of_life_domains|WVS_A,,0.0273,,,,-0.0133,,-0.007,-0.0052,,0.0114,,0.0113,,,0.0527,,0.0,,-0.0547,0.0223,0.0224,,0.0338,,,-0.0273,,,0.0231,,-0.0223,,,0.0565,,-0.0135,,,,,,,0.0461
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
job_scarcity_gender_discrimination|WVS_C,,-0.0489,-0.0759,0.0252,0.0149,0.0361,,0.0191,0.023,,-0.0395,,-0.0278,,,-0.0718,,-0.0547,,0.0,,-0.0372,,-0.0481,,,0.025,,,-0.0382,,0.0442,,,-0.0751,0.1352,0.019,,-0.0077,,,-0.0354,,
job_scarcity_nativist_preference|WVS_C,,0.0329,0.0591,-0.0411,-0.0121,0.0199,,-0.0024,-0.0168,,0.0209,,-0.0083,,,0.0449,,0.0223,,,0.0,0.0216,,0.034,,,-0.0228,,,-0.0115,,0.0136,,,0.0548,-0.0645,-0.0119,,0.0149,,,0.0287,,
life_autonomy_morality_permissiveness|WVS_F,,0.0412,0.0604,-0.0392,-0.0074,,,-0.0097,-0.0288,,0.0391,,0.0027,,,0.0487,,0.0224,,-0.0372,0.0216,0.0,,0.0377,,,-0.0157,,,,,,,,,-0.0661,-0.0127,,0.0204,,,0.0294,,0.0358
neighborhood_disorder_and_crime|WVS_H,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
offline_political_participation|WVS_E,,,0.0866,-0.0607,-0.0163,0.0202,,,,,,,,,,0.0753,,0.0338,,-0.0481,0.034,0.0377,,0.0,,,,,,-0.0198,,0.0132,,,0.0884,-0.1084,,,0.0315,,,0.0347,,0.059
outgroup_trust|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
political_information_sources|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
postmaterialist_values|WVS_E,,,-0.0514,0.0296,0.0173,-0.0164,,,,,,,,,,-0.0484,,-0.0273,,0.025,-0.0228,-0.0157,,,,,0.0,,,0.0074,,-0.0104,,,-0.0557,0.088,,,-0.0132,,,-0.0113,,-0.0471
precautionary_security_behaviors|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
religion_versus_secularism_orientation|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
religious_belief|WVS_F,,-0.0037,-0.0181,0.0398,0.0009,,,-0.0084,0.0292,,-0.0221,,0.0231,,,-0.0141,,0.0231,,-0.0382,-0.0115,,,-0.0198,,,0.0074,,,0.0,,,,,,-0.0172,0.0037,,-0.0344,,,0.0015,,-0.0094
religious_exclusivism|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
religious_practice_and_self_identification|WVS_F,,-0.0036,0.015,-0.0385,-0.003,,,0.0134,-0.0174,,0.0072,,-0.026,,,0.0117,,-0.0223,,0.0442,0.0136,,,0.0132,,,-0.0104,,,,,0.0,,,,0.0177,-0.0034,,0.0324,,,-0.0095,,0.0152
science_skepticism|WVS_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
science_technology_optimism|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
sexual_and_reproductive_morality_permissiveness|WVS_F,,0.0694,0.1389,-0.092,-0.0295,,,-0.0091,-0.0468,,0.0615,,-0.006,,,0.1119,,0.0565,,-0.0751,0.0548,,,0.0884,,,-0.0557,,,,,,,,0.0,-0.1705,-0.0319,,0.0427,,,0.0505,,0.1004
social_intolerance_outgroups|WVS_A,,-0.0665,,,,-0.0081,,0.0118,0.0268,,-0.0403,,-0.0169,,,-0.1465,,,,0.1352,-0.0645,-0.0661,,-0.1084,,,0.088,,,-0.0172,,0.0177,,,-0.1705,0.0,0.0433,,,,,,,-0.1398
societal_change_attitudes|WVS_E,,,-0.0312,0.0201,0.0074,-0.0051,,,,,,,,,,-0.0277,,-0.0135,,0.019,-0.0119,-0.0127,,,,,,,,0.0037,,-0.0034,,,-0.0319,0.0433,0.0,,-0.0099,,,-0.0107,,-0.0238
socioeconomic_insecurity_worry|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
subjective_wellbeing|WVS_A,,0.0246,,,,0.03,,-0.0017,-0.0308,,0.0359,,-0.0058,,,0.0372,,,,-0.0077,0.0149,0.0204,,0.0315,,,-0.0132,,,-0.0344,,0.0324,,,0.0427,,-0.0099,,0.0,,,,,0.0252
violence_tolerance|WVS_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
voluntary_association_active_membership|WVS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
voluntary_association_belonging|WVS_A,,0.0565,,,,0.0052,,-0.0152,-0.0351,,0.0421,,-0.0031,,,0.0458,,,,-0.0354,0.0287,0.0294,,0.0347,,,-0.0113,,,0.0015,,-0.0095,,,0.0505,,-0.0107,,,,,0.0,,0.0409
voting_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
work_ethic|WVS_C,,0.0491,0.1037,-0.0648,-0.0267,0.0316,,-0.0022,-0.0215,,0.0276,,-0.0124,,,0.0818,,0.0461,,,,0.0358,,0.059,,,-0.0471,,,-0.0094,,0.0152,,,0.1004,-0.1398,-0.0238,,0.0252,,,0.0409,,0.0
