,acceptance_of_state_surveillance|WVS_H,authoritarian_governance_tolerance|WVS_E,autocracy_support|WVS_E,basic_needs_deprivation|WVS_H,child_qualities_autonomy_self_expression|WVS_A,child_qualities_conformity_tradition|WVS_A,child_qualities_prosocial_diligence|WVS_A,civic_dishonesty_tolerance|WVS_F,confidence_in_civil_society_organizations|WVS_E,confidence_in_domestic_institutions|WVS_E,confidence_in_international_organizations|WVS_E,crime_victimization|WVS_H,democratic_system_evaluation|WVS_E,democratic_values_importance|WVS_E,economic_ideology|WVS_E,electoral_integrity|WVS_E,existential_threat_worry|WVS_H,familial_duty_obligations|WVS_D,female_income_threat_to_marriage|WVS_D,freedom_security_tradeoff_perception|WVS_H,gender_role_traditionalism|WVS_D,immigrant_origin_status|WVS_G,importance_of_life_domains|WVS_A,institutional_threat_perception|WVS_H,international_organization_knowledge|WVS_E,job_scarcity_gender_discrimination|WVS_C,job_scarcity_nativist_preference|WVS_C,life_autonomy_morality_permissiveness|WVS_F,multilevel_place_attachment|WVS_G,neighborhood_disorder_and_crime|WVS_H,offline_political_participation|WVS_E,online_political_participation|WVS_E,outgroup_trust|WVS_G,perceived_corruption|WVS_E,perceived_negative_effects_of_immigration|WVS_G,perceived_positive_effects_of_immigration|WVS_G,political_information_sources|WVS_E,postmaterialist_values|WVS_E,precautionary_security_behaviors|WVS_H,religion_versus_secularism_orientation|WVS_F,religious_belief|WVS_F,religious_exclusivism|WVS_F,religious_practice_and_self_identification|WVS_F,science_skepticism|WVS_I,science_technology_optimism|WVS_E,sexual_and_reproductive_morality_permissiveness|WVS_F,social_intolerance_outgroups|WVS_A,societal_change_attitudes|WVS_E,socioeconomic_insecurity_worry|WVS_H,subjective_wellbeing|WVS_A,violence_tolerance|WVS_F,voluntary_association_active_membership|WVS_A,voluntary_association_belonging|WVS_A,voting_participation|WVS_E,work_ethic|WVS_C
confidence_in_international_organizations|WVS_E,0.0326,,,,-0.0188,-0.0115,-0.007,-0.0029,,,0.0,0.0013,,,,,0.0102,-0.0053,-0.0194,0.0154,-0.0164,-0.0466,-0.0104,,,-0.0029,0.0017,-0.0119,,-0.0028,,,-0.004,,0.0081,-0.0113,,,-0.003,0.0122,0.0212,-0.0169,-0.0182,0.0146,,-0.0331,0.0109,,0.0135,-0.0004,-0.0039,0.0,0.0004,,-0.0086
crime_victimization|WVS_H,,0.0138,-0.0031,,0.0086,0.0001,0.0004,0.0133,-0.0042,0.0124,0.0013,0.0,0.0078,-0.0087,0.0061,-0.0305,,-0.0017,-0.0086,,-0.0087,0.0165,0.0055,,-0.0046,-0.0012,0.0211,0.0081,,,,-0.0121,-0.0048,,0.0069,-0.0037,-0.0005,0.0019,,-0.018,-0.017,0.0036,0.0143,0.0049,0.0012,0.0171,-0.0076,-0.013,,-0.0175,0.0028,-0.0161,-0.0167,0.0413,0.0105
democratic_system_evaluation|WVS_E,-0.0132,,,,0.0093,0.0004,0.0024,0.0124,,,,0.0078,0.0,,,,-0.0017,-0.0012,-0.0051,-0.0166,-0.0101,0.0222,0.0035,,,-0.0173,0.005,0.003,,0.0048,,,-0.0006,,-0.0048,0.0043,,,-0.0132,-0.0117,-0.0182,0.0122,0.02,-0.008,,0.0162,-0.0024,,-0.0051,-0.0064,0.0106,-0.0093,-0.0092,,-0.0028
democratic_values_importance|WVS_E,0.0272,,,,-0.0107,-0.0083,-0.0033,0.0008,,,,-0.0087,,0.0,,,0.0152,-0.004,-0.0161,0.0081,-0.0169,-0.0291,-0.0084,,,-0.0175,-0.0068,-0.0119,,0.0074,,,-0.0006,,-0.0029,-0.0033,,,-0.015,0.0099,0.0105,-0.0039,-0.0058,0.0009,,-0.0218,0.0118,,0.0159,0.0055,0.0051,0.0017,0.0019,,-0.0161
economic_ideology|WVS_E,-0.006,,,,0.0018,0.0007,0.0,0.0017,,,,0.0061,,,0.0,,-0.0042,0.0,-0.0001,-0.003,0.0,0.0046,0.0019,,,0.0032,0.0046,0.0026,,-0.0031,,,-0.0011,,0.0024,-0.0009,,,0.0031,-0.0035,-0.0031,-0.0001,0.0017,0.0018,,0.0039,-0.0026,,-0.0049,-0.0039,-0.0005,-0.003,-0.0029,,0.0042
electoral_integrity|WVS_E,0.0611,,,,-0.0326,-0.0144,-0.0084,-0.0178,,,,-0.0305,,,,0.0,0.0283,-0.0046,-0.0167,0.0397,-0.0106,-0.0768,-0.019,,,-0.0052,-0.021,-0.0246,,0.0078,,,0.0012,,0.001,-0.0099,,,-0.0051,0.0328,0.0445,-0.0232,-0.0368,0.0107,,-0.056,0.0217,,0.0334,0.0195,-0.006,0.017,0.0189,,-0.0238
existential_threat_worry|WVS_H,,0.0024,-0.0049,,-0.0219,-0.0159,-0.0068,0.001,-0.0048,-0.0214,0.0102,,-0.0017,0.0152,-0.0042,0.0283,0.0,-0.0077,-0.0298,,-0.0318,-0.0553,-0.0161,,-0.0217,-0.0295,-0.0098,-0.0206,,,,-0.0308,-0.0016,,-0.0035,-0.0074,-0.0124,0.0082,,0.0181,0.0211,-0.0091,-0.0109,0.0032,0.0018,-0.0404,0.0201,0.0194,,0.0088,0.0072,0.0026,0.0035,-0.0402,-0.026
familial_duty_obligations|WVS_D,-0.0162,-0.005,0.0033,,0.0078,0.0069,0.0031,-0.0037,0.0036,0.0065,-0.0053,-0.0017,-0.0012,-0.004,0.0,-0.0046,-0.0077,0.0,,-0.0024,,0.0206,0.005,,0.0117,0.0117,-0.0009,0.0067,,-0.0022,,0.019,0.0024,,-0.001,0.0044,0.0059,-0.0044,0.0101,-0.0032,-0.0055,0.0036,0.0019,-0.0036,-0.0012,0.0131,-0.0072,-0.0049,-0.0083,0.0014,-0.0034,0.0034,0.0033,0.0065,0.0088
female_income_threat_to_marriage|WVS_D,-0.0604,-0.0187,0.0124,,0.0276,0.0261,0.0109,-0.0162,0.0129,0.0228,-0.0194,-0.0086,-0.0051,-0.0161,-0.0001,-0.0167,-0.0298,,0.0,-0.0071,,0.0736,0.0199,,0.0408,0.0475,-0.0032,0.0264,,-0.0096,,0.0667,0.0086,,-0.0023,0.0171,0.0224,-0.0172,0.0398,-0.0114,-0.0181,0.0125,0.0059,-0.0126,-0.0044,0.0511,-0.0278,-0.0209,-0.0289,0.0058,-0.0133,0.0132,0.013,0.0242,0.0329
freedom_security_tradeoff_perception|WVS_H,,0.007,-0.0055,,-0.0228,-0.0083,-0.0063,-0.0143,-0.0063,-0.0265,0.0154,,-0.0166,0.0081,-0.003,0.0397,,-0.0024,-0.0071,0.0,-0.003,-0.054,-0.0124,,-0.0299,0.0077,-0.0112,-0.0149,,,,-0.0624,0.0004,,0.004,-0.0083,-0.0168,0.0066,,0.0232,0.032,-0.0197,-0.0306,0.0113,0.0009,-0.04,0.014,0.0285,,0.0116,-0.0084,0.0122,0.0131,-0.0429,-0.0098
gender_role_traditionalism|WVS_D,-0.0587,-0.0174,0.0113,,0.0257,0.0265,0.0112,-0.0202,0.0114,0.0198,-0.0164,-0.0087,-0.0101,-0.0169,0.0,-0.0106,-0.0318,,,-0.003,0.0,0.0713,0.0193,,0.0354,0.0566,-0.0043,0.0267,,-0.0126,,0.0527,0.0085,,-0.0002,0.0148,0.0198,-0.0143,0.0451,-0.009,-0.0125,0.0076,-0.0027,-0.0093,-0.0044,0.0466,-0.0273,-0.0151,-0.0281,0.0075,-0.0186,0.0144,0.0147,0.0224,0.0358
immigrant_origin_status|WVS_G,-0.1312,-0.0314,0.0234,,0.0654,0.0411,0.023,0.0065,0.0243,0.0659,-0.0466,0.0165,0.0222,-0.0291,0.0046,-0.0768,-0.0553,0.0206,0.0736,-0.054,0.0713,0.0,0.0421,,0.0965,0.0454,0.0128,0.0528,,-0.0106,,0.1748,,,,,0.049,-0.0291,0.0409,-0.049,-0.0696,0.0458,0.0521,-0.0329,-0.0066,0.1176,-0.0515,-0.0662,-0.0636,-0.0122,-0.0036,-0.0051,-0.0076,0.0922,0.0533
importance_of_life_domains|WVS_A,-0.0338,-0.0057,0.0051,,,,,0.0006,0.0054,0.0155,-0.0104,0.0055,0.0035,-0.0084,0.0019,-0.019,-0.0161,0.005,0.0199,-0.0124,0.0193,0.0421,0.0,,0.022,0.0139,0.0049,0.0139,,-0.0042,,0.0355,0.0021,,-0.0011,0.0071,0.0111,-0.0071,0.0132,-0.012,-0.017,0.0092,0.0116,-0.006,-0.0016,0.029,,-0.0149,-0.0174,,-0.0025,,,0.0241,0.0149
institutional_threat_perception|WVS_H,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international_organization_knowledge|WVS_E,-0.069,,,,0.0371,0.0235,0.0144,0.0032,,,,-0.0046,,,,,-0.0217,0.0117,0.0408,-0.0299,0.0354,0.0965,0.022,,0.0,0.0088,-0.0036,0.0246,,0.0056,,,0.0081,,-0.0154,0.0239,,,0.0099,-0.0229,-0.0419,0.0314,0.0325,-0.0286,,0.0665,-0.0232,,-0.0261,0.0021,0.0052,0.0009,0.0011,,0.0176
job_scarcity_gender_discrimination|WVS_C,-0.0402,0.0016,0.0036,,0.0143,0.0208,0.0058,-0.0225,0.0022,0.0079,-0.0029,-0.0012,-0.0173,-0.0175,0.0032,-0.0052,-0.0295,0.0117,0.0475,0.0077,0.0566,0.0454,0.0139,,0.0088,0.0,,0.0225,,-0.0204,,-0.015,0.005,,0.0091,0.0048,0.0037,-0.0089,0.0518,-0.0022,0.0004,-0.0054,-0.0164,0.0055,-0.0027,0.0278,-0.0224,-0.0004,-0.0257,0.0016,-0.024,0.0131,0.0122,0.016,
job_scarcity_nativist_preference|WVS_C,-0.015,0.0117,-0.0026,,0.0059,0.0002,-0.0001,0.0079,-0.0032,0.0083,0.0017,0.0211,0.005,-0.0068,0.0046,-0.021,-0.0098,-0.0009,-0.0032,-0.0112,-0.0043,0.0128,0.0049,,-0.0036,,0.0,0.0059,,-0.0072,,-0.0131,-0.0032,,0.0056,-0.003,-0.001,0.0018,0.0032,-0.013,-0.0116,0.0014,0.0081,0.0049,0.0009,0.0117,-0.0058,-0.0091,-0.0125,-0.0123,0.0009,-0.0101,-0.0109,0.0273,
life_autonomy_morality_permissiveness|WVS_F,-0.0419,-0.0053,0.006,,0.0191,0.0138,0.0067,,0.006,0.0195,-0.0119,0.0081,0.003,-0.0119,0.0026,-0.0246,-0.0206,0.0067,0.0264,-0.0149,0.0267,0.0528,0.0139,,0.0246,0.0225,0.0059,0.0,,-0.0071,,0.0415,0.0026,,-0.0002,0.0089,0.0136,-0.0086,0.0187,,,,,-0.0068,-0.0019,,-0.0176,-0.0181,-0.0234,-0.004,,-0.001,-0.0016,0.0334,0.0201
multilevel_place_attachment|WVS_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
neighborhood_disorder_and_crime|WVS_H,,-0.0075,0.0016,,-0.0038,-0.0044,-0.0003,0.0038,0.0022,-0.0023,-0.0028,,0.0048,0.0074,-0.0031,0.0078,,-0.0022,-0.0096,,-0.0126,-0.0106,-0.0042,,0.0056,-0.0204,-0.0072,-0.0071,,0.0,,0.0201,0.0009,,-0.0064,0.0018,0.0024,0.0005,,0.0036,0.0007,0.0042,0.0043,-0.0064,0.0001,-0.0072,0.0075,0.0013,,0.0049,0.008,0.0006,0.0003,-0.0136,-0.015
offline_political_participation|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
online_political_participation|WVS_E,-0.1105,,,,0.0706,0.0386,0.0258,0.0156,,,,-0.0121,,,,,-0.0308,0.019,0.0667,-0.0624,0.0527,0.1748,0.0355,,,-0.015,-0.0131,0.0415,,0.0201,,0.0,0.0157,,-0.0338,0.0481,,,-0.0062,-0.0459,-0.0863,0.0686,0.0757,-0.0605,,0.1189,-0.0362,,-0.0413,0.0066,0.0222,0.0012,-0.0014,,0.0208
outgroup_trust|WVS_G,-0.0062,-0.0057,0.0025,,0.0034,0.0036,0.0019,-0.0032,0.0028,0.0024,-0.004,-0.0048,-0.0006,-0.0006,-0.0011,0.0012,-0.0016,0.0024,0.0086,0.0004,0.0085,,0.0021,,0.0081,0.005,-0.0032,0.0026,,0.0009,,0.0157,0.0,,,,0.0042,-0.0028,0.0033,0.0001,-0.0014,0.0026,0.0002,-0.0036,-0.0008,0.0063,-0.0027,-0.0018,-0.0015,0.0033,-0.0013,0.0036,0.0038,-0.0015,0.0028
perceived_corruption|WVS_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
perceived_negative_effects_of_immigration|WVS_G,0.0035,0.0105,-0.0041,,-0.0037,-0.0014,-0.0026,-0.002,-0.0049,-0.0046,0.0081,0.0069,-0.0048,-0.0029,0.0024,0.001,-0.0035,-0.001,-0.0023,0.004,-0.0002,,-0.0011,,-0.0154,0.0091,0.0056,-0.0002,,-0.0064,,-0.0338,,,0.0,,-0.0071,0.0033,0.007,0.0009,0.0056,-0.0078,-0.0081,0.0085,0.0008,-0.006,-0.0002,0.005,-0.0026,-0.004,-0.005,-0.0016,-0.0017,0.0043,0.0052
perceived_positive_effects_of_immigration|WVS_G,-0.0227,-0.0118,0.0066,,0.0129,0.009,0.0052,-0.0006,0.0069,0.0125,-0.0113,-0.0037,0.0043,-0.0033,-0.0009,-0.0099,-0.0074,0.0044,0.0171,-0.0083,0.0148,,0.0071,,0.0239,0.0048,-0.003,0.0089,,0.0018,,0.0481,,,,0.0,0.0127,-0.0069,0.0045,-0.0067,-0.0128,0.0114,0.0106,-0.0097,-0.0016,0.0214,-0.0086,-0.0119,-0.0085,0.002,0.0009,0.0028,0.0025,0.0107,0.0063
political_information_sources|WVS_E,-0.0372,,,,0.0195,0.0122,0.0077,0.0024,,,,-0.0005,,,,,-0.0124,0.0059,0.0224,-0.0168,0.0198,0.049,0.0111,,,0.0037,-0.001,0.0136,,0.0024,,,0.0042,,-0.0071,0.0127,0.0,,0.0045,-0.0129,-0.022,0.0172,0.0182,-0.0146,,0.0355,-0.0125,,-0.0142,0.0005,0.0027,-0.0001,0.0003,,0.0103
postmaterialist_values|WVS_E,0.0215,,,,-0.0112,-0.0084,-0.0045,0.0016,,,,0.0019,,,,,0.0082,-0.0044,-0.0172,0.0066,-0.0143,-0.0291,-0.0071,,,-0.0089,0.0018,-0.0086,,0.0005,,,-0.0028,,0.0033,-0.0069,,0.0,-0.0072,0.0063,0.0105,-0.0077,-0.0073,0.0067,,-0.0202,0.0086,,0.0088,-0.0015,0.0009,-0.0026,-0.0025,,-0.0078
precautionary_security_behaviors|WVS_H,,0.0006,0.0033,,0.0129,0.0171,0.0051,-0.0174,0.0026,0.0089,-0.003,,-0.0132,-0.015,0.0031,-0.0051,,0.0101,0.0398,,0.0451,0.0409,0.0132,,0.0099,0.0518,0.0032,0.0187,,,,-0.0062,0.0033,,0.007,0.0045,0.0045,-0.0072,0.0,-0.0052,-0.0018,-0.0032,-0.01,0.0038,-0.0022,0.0236,-0.0202,-0.0047,,-0.0001,-0.0198,0.0095,0.0087,0.0193,0.033
religion_versus_secularism_orientation|WVS_F,0.0388,0.0022,-0.0043,,-0.02,-0.0093,-0.0054,,-0.0047,-0.0224,0.0122,-0.018,-0.0117,0.0099,-0.0035,0.0328,0.0181,-0.0032,-0.0114,0.0232,-0.009,-0.049,-0.012,,-0.0229,-0.0022,-0.013,,,0.0036,,-0.0459,0.0001,,0.0009,-0.0067,-0.0129,0.0063,-0.0052,0.0,,,,0.0077,0.0009,,0.0139,0.023,0.0211,0.0106,,0.0097,0.0116,-0.0432,-0.0141
religious_belief|WVS_F,0.0531,0.0107,-0.0085,,-0.0279,-0.014,-0.0092,,-0.0091,-0.0322,0.0212,-0.017,-0.0182,0.0105,-0.0031,0.0445,0.0211,-0.0055,-0.0181,0.032,-0.0125,-0.0696,-0.017,,-0.0419,0.0004,-0.0116,,,0.0007,,-0.0863,-0.0014,,0.0056,-0.0128,-0.022,0.0105,-0.0018,,0.0,,,0.0156,0.0018,,0.0181,0.032,0.0253,0.0109,,0.0107,0.0125,-0.0517,-0.0159
religious_exclusivism|WVS_F,-0.0309,-0.0134,0.0075,,0.0181,0.0085,0.0063,,0.0084,0.0204,-0.0169,0.0036,0.0122,-0.0039,-0.0001,-0.0232,-0.0091,0.0036,0.0125,-0.0197,0.0076,0.0458,0.0092,,0.0314,-0.0054,0.0014,,,0.0042,,0.0686,0.0026,,-0.0078,0.0114,0.0172,-0.0077,-0.0032,,,0.0,,-0.0142,-0.0015,,-0.0098,-0.0204,-0.0117,-0.0029,,-0.0043,-0.0039,0.024,0.0052
religious_practice_and_self_identification|WVS_F,-0.0363,-0.0108,0.0074,,0.0231,0.0073,0.0071,,0.0074,0.0268,-0.0182,0.0143,0.02,-0.0058,0.0017,-0.0368,-0.0109,0.0019,0.0059,-0.0306,-0.0027,0.0521,0.0116,,0.0325,-0.0164,0.0081,,,0.0043,,0.0757,0.0002,,-0.0081,0.0106,0.0182,-0.0073,-0.01,,,,0.0,-0.016,-0.001,,-0.0105,-0.0283,-0.0162,-0.0116,,-0.0124,-0.0141,0.0384,0.0049
science_skepticism|WVS_I,0.0209,0.016,-0.0075,,-0.0129,-0.0075,-0.0057,-0.0031,-0.0087,-0.0137,0.0146,0.0049,-0.008,0.0009,0.0018,0.0107,0.0032,-0.0036,-0.0126,0.0113,-0.0093,-0.0329,-0.006,,-0.0286,0.0055,0.0049,-0.0068,,-0.0064,,-0.0605,-0.0036,,0.0085,-0.0097,-0.0146,0.0067,0.0038,0.0077,0.0156,-0.0142,-0.016,0.0,0.0017,-0.0217,0.0061,0.0137,0.0054,-0.0028,-0.0058,-0.001,-0.0008,-0.0081,-0.0004
science_technology_optimism|WVS_E,0.005,,,,-0.0025,-0.002,-0.001,0.0011,,,,0.0012,,,,,0.0018,-0.0012,-0.0044,0.0009,-0.0044,-0.0066,-0.0016,,,-0.0027,0.0009,-0.0019,,0.0001,,,-0.0008,,0.0008,-0.0016,,,-0.0022,0.0009,0.0018,-0.0015,-0.001,0.0017,0.0,-0.0041,0.0019,,0.0018,-0.0008,0.0006,-0.0011,-0.0011,,-0.0019
sexual_and_reproductive_morality_permissiveness|WVS_F,-0.0945,-0.0207,0.0156,,0.046,0.0303,0.0161,,0.0159,0.0494,-0.0331,0.0171,0.0162,-0.0218,0.0039,-0.056,-0.0404,0.0131,0.0511,-0.04,0.0466,0.1176,0.029,,0.0665,0.0278,0.0117,,,-0.0072,,0.1189,0.0063,,-0.006,0.0214,0.0355,-0.0202,0.0236,,,,,-0.0217,-0.0041,0.0,-0.0358,-0.0468,-0.0452,-0.0092,,-0.0064,-0.0073,0.0703,0.037
social_intolerance_outgroups|WVS_A,0.0428,0.0051,-0.0058,,,,,0.0022,-0.0058,-0.0188,0.0109,-0.0076,-0.0024,0.0118,-0.0026,0.0217,0.0201,-0.0072,-0.0278,0.014,-0.0273,-0.0515,,,-0.0232,-0.0224,-0.0058,-0.0176,,0.0075,,-0.0362,-0.0027,,-0.0002,-0.0086,-0.0125,0.0086,-0.0202,0.0139,0.0181,-0.0098,-0.0105,0.0061,0.0019,-0.0358,0.0,0.0165,0.0242,,0.0047,,,-0.0311,-0.0218
societal_change_attitudes|WVS_E,0.0475,,,,-0.0255,-0.0127,-0.0083,-0.0101,,,,-0.013,,,,,0.0194,-0.0049,-0.0209,0.0285,-0.0151,-0.0662,-0.0149,,,-0.0004,-0.0091,-0.0181,,0.0013,,,-0.0018,,0.005,-0.0119,,,-0.0047,0.023,0.032,-0.0204,-0.0283,0.0137,,-0.0468,0.0165,0.0,0.0223,0.0086,-0.0055,0.0081,0.0093,,-0.0153
socioeconomic_insecurity_worry|WVS_H,,0.0019,-0.006,,-0.0251,-0.0168,-0.0076,-0.0013,-0.0054,-0.0244,0.0135,,-0.0051,0.0159,-0.0049,0.0334,,-0.0083,-0.0289,,-0.0281,-0.0636,-0.0174,,-0.0261,-0.0257,-0.0125,-0.0234,,,,-0.0413,-0.0015,,-0.0026,-0.0085,-0.0142,0.0088,,0.0211,0.0253,-0.0117,-0.0162,0.0054,0.0018,-0.0452,0.0242,0.0223,0.0,0.0089,0.0061,0.0038,0.0053,-0.045,-0.0286
subjective_wellbeing|WVS_A,0.0115,-0.0083,0.0018,,,,,-0.0095,0.0023,-0.0083,-0.0004,-0.0175,-0.0064,0.0055,-0.0039,0.0195,0.0088,0.0014,0.0058,0.0116,0.0075,-0.0122,,,0.0021,0.0016,-0.0123,-0.004,,0.0049,,0.0066,0.0033,,-0.004,0.002,0.0005,-0.0015,-0.0001,0.0106,0.0109,-0.0029,-0.0116,-0.0028,-0.0008,-0.0092,,0.0086,0.0089,0.0,-0.0026,,,-0.0248,-0.0059
violence_tolerance|WVS_F,0.0058,-0.0038,0.0004,,0.0001,-0.0051,-0.0003,,0.001,0.0035,-0.0039,0.0028,0.0106,0.0051,-0.0005,-0.006,0.0072,-0.0034,-0.0133,-0.0084,-0.0186,-0.0036,-0.0025,,0.0052,-0.024,0.0009,,,0.008,,0.0222,-0.0013,,-0.005,0.0009,0.0027,0.0009,-0.0198,,,,,-0.0058,0.0006,,0.0047,-0.0055,0.0061,-0.0026,0.0,-0.0065,-0.0069,0.0012,-0.0115
