sexo,escol,Tam_loc,agg_ageism_and_negative_stereotypes,agg_assessment_of_older_adult_wellbeing_and_social_conditions,agg_state_and_family_responsibility_for_elder_care
2.0,1.0,1.0,4.521739130434783,4.681818181818182,2.565217391304348
1.0,1.0,1.0,3.347826086956522,4.681818181818182,2.1739130434782608
2.0,4.0,4.0,2.565217391304348,3.454545454545454,2.1739130434782608
1.0,4.0,3.0,2.565217391304348,1.409090909090909,1.391304347826087
1.0,3.0,2.0,1.782608695652174,1.409090909090909,1.391304347826087
2.0,3.0,1.0,3.347826086956522,3.454545454545454,4.913043478260869
2.0,3.0,2.0,1.391304347826087,2.227272727272727,1.782608695652174
2.0,3.0,1.0,3.739130434782609,2.227272727272727,1.0
2.0,3.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
2.0,3.0,4.0,4.130434782608695,1.8181818181818183,1.782608695652174
1.0,3.0,3.0,1.782608695652174,2.227272727272727,2.565217391304348
1.0,3.0,3.0,2.565217391304348,1.409090909090909,1.391304347826087
1.0,4.0,2.0,3.739130434782609,3.045454545454545,1.0
1.0,4.0,3.0,2.565217391304348,2.227272727272727,1.391304347826087
2.0,1.0,1.0,2.9565217391304346,1.0,2.1739130434782608
2.0,4.0,3.0,3.347826086956522,3.8636363636363633,1.782608695652174
2.0,4.0,1.0,4.130434782608695,3.454545454545454,2.1739130434782608
2.0,4.0,1.0,4.130434782608695,3.454545454545454,7.260869565217392
1.0,4.0,2.0,4.130434782608695,1.8181818181818183,1.782608695652174
1.0,3.0,2.0,3.347826086956522,2.227272727272727,2.1739130434782608
2.0,2.0,1.0,2.565217391304348,2.227272727272727,2.1739130434782608
2.0,3.0,1.0,4.521739130434783,1.409090909090909,2.1739130434782608
2.0,3.0,2.0,3.739130434782609,3.454545454545454,2.9565217391304346
2.0,4.0,2.0,4.521739130434783,3.454545454545454,3.347826086956522
2.0,3.0,2.0,2.565217391304348,3.454545454545454,2.1739130434782608
2.0,4.0,1.0,2.1739130434782608,2.6363636363636367,2.565217391304348
1.0,3.0,4.0,3.739130434782609,3.8636363636363633,1.391304347826087
1.0,4.0,3.0,1.782608695652174,4.2727272727272725,4.913043478260869
2.0,3.0,1.0,1.782608695652174,2.6363636363636367,1.782608695652174
2.0,3.0,1.0,1.782608695652174,3.8636363636363633,2.565217391304348
2.0,4.0,2.0,3.347826086956522,3.8636363636363633,2.565217391304348
1.0,4.0,4.0,5.304347826086957,3.8636363636363633,3.347826086956522
2.0,3.0,1.0,1.782608695652174,2.227272727272727,1.391304347826087
2.0,4.0,2.0,3.347826086956522,3.8636363636363633,2.565217391304348
2.0,3.0,2.0,1.782608695652174,2.6363636363636367,3.347826086956522
1.0,3.0,1.0,2.565217391304348,3.454545454545454,1.391304347826087
1.0,4.0,1.0,2.1739130434782608,3.045454545454545,2.565217391304348
2.0,3.0,1.0,1.391304347826087,4.681818181818182,2.565217391304348
1.0,2.0,1.0,2.9565217391304346,3.045454545454545,2.565217391304348
1.0,4.0,1.0,1.782608695652174,3.454545454545454,2.565217391304348
2.0,2.0,1.0,3.347826086956522,3.454545454545454,2.565217391304348
2.0,4.0,3.0,4.521739130434783,4.2727272727272725,1.391304347826087
1.0,3.0,1.0,2.9565217391304346,1.8181818181818183,2.565217391304348
1.0,4.0,1.0,1.391304347826087,2.227272727272727,2.1739130434782608
2.0,2.0,4.0,2.565217391304348,3.8636363636363633,2.1739130434782608
2.0,3.0,2.0,2.9565217391304346,4.2727272727272725,2.1739130434782608
2.0,3.0,1.0,4.130434782608695,2.6363636363636367,1.782608695652174
2.0,3.0,3.0,3.347826086956522,6.3181818181818175,2.1739130434782608
2.0,4.0,1.0,2.565217391304348,3.8636363636363633,2.1739130434782608
1.0,2.0,1.0,2.565217391304348,3.454545454545454,2.1739130434782608
2.0,5.0,3.0,4.130434782608695,3.454545454545454,1.782608695652174
1.0,1.0,1.0,2.9565217391304346,1.8181818181818183,2.565217391304348
1.0,3.0,1.0,2.9565217391304346,1.8181818181818183,2.1739130434782608
1.0,4.0,1.0,1.782608695652174,3.8636363636363633,4.913043478260869
1.0,3.0,1.0,1.391304347826087,2.6363636363636367,2.1739130434782608
1.0,3.0,4.0,3.347826086956522,3.454545454545454,1.782608695652174
1.0,3.0,2.0,4.130434782608695,5.5,2.1739130434782608
1.0,5.0,1.0,2.9565217391304346,2.6363636363636367,2.565217391304348
1.0,1.0,1.0,2.565217391304348,1.8181818181818183,1.0
2.0,5.0,2.0,2.1739130434782608,4.2727272727272725,5.695652173913044
2.0,3.0,2.0,5.695652173913044,3.454545454545454,2.9565217391304346
1.0,3.0,3.0,4.521739130434783,3.045454545454545,4.521739130434783
1.0,3.0,1.0,4.130434782608695,4.2727272727272725,1.782608695652174
2.0,1.0,1.0,3.739130434782609,4.681818181818182,1.391304347826087
1.0,4.0,1.0,2.565217391304348,4.2727272727272725,1.782608695652174
1.0,1.0,2.0,2.9565217391304346,2.6363636363636367,1.782608695652174
2.0,4.0,2.0,3.347826086956522,2.6363636363636367,1.391304347826087
1.0,4.0,3.0,1.391304347826087,1.409090909090909,2.1739130434782608
1.0,1.0,4.0,3.347826086956522,5.5,2.565217391304348
2.0,3.0,3.0,3.347826086956522,2.6363636363636367,2.565217391304348
2.0,3.0,1.0,1.782608695652174,2.6363636363636367,2.1739130434782608
2.0,3.0,4.0,2.1739130434782608,1.8181818181818183,2.565217391304348
2.0,3.0,1.0,3.739130434782609,1.8181818181818183,1.391304347826087
1.0,4.0,4.0,2.9565217391304346,3.8636363636363633,6.478260869565218
2.0,2.0,3.0,1.782608695652174,4.2727272727272725,2.1739130434782608
1.0,4.0,2.0,2.1739130434782608,3.454545454545454,1.391304347826087
2.0,3.0,1.0,1.391304347826087,3.8636363636363633,1.782608695652174
1.0,5.0,1.0,5.304347826086957,2.227272727272727,1.391304347826087
2.0,1.0,1.0,2.9565217391304346,3.045454545454545,2.1739130434782608
2.0,3.0,3.0,2.565217391304348,2.227272727272727,1.782608695652174
1.0,3.0,4.0,2.9565217391304346,3.454545454545454,1.391304347826087
1.0,4.0,1.0,1.391304347826087,7.136363636363636,2.1739130434782608
2.0,3.0,1.0,2.9565217391304346,7.545454545454545,1.391304347826087
2.0,3.0,3.0,2.565217391304348,3.8636363636363633,2.1739130434782608
1.0,3.0,3.0,1.782608695652174,3.045454545454545,1.391304347826087
1.0,3.0,3.0,2.1739130434782608,2.227272727272727,2.565217391304348
1.0,4.0,1.0,4.130434782608695,1.409090909090909,1.391304347826087
1.0,2.0,1.0,2.1739130434782608,3.454545454545454,1.782608695652174
1.0,3.0,3.0,2.1739130434782608,3.8636363636363633,2.1739130434782608
2.0,3.0,1.0,5.304347826086957,3.454545454545454,1.782608695652174
1.0,3.0,1.0,3.739130434782609,1.409090909090909,1.0
1.0,3.0,2.0,3.347826086956522,2.227272727272727,1.0
2.0,2.0,3.0,2.565217391304348,1.409090909090909,2.1739130434782608
1.0,3.0,2.0,3.739130434782609,5.5,1.0
1.0,3.0,2.0,2.1739130434782608,1.8181818181818183,2.565217391304348
2.0,5.0,1.0,2.1739130434782608,3.045454545454545,2.1739130434782608
2.0,4.0,1.0,3.739130434782609,3.454545454545454,2.1739130434782608
2.0,3.0,1.0,4.913043478260869,3.8636363636363633,1.391304347826087
2.0,4.0,2.0,2.565217391304348,4.681818181818182,1.782608695652174
2.0,1.0,1.0,2.9565217391304346,1.8181818181818183,2.565217391304348
1.0,4.0,1.0,1.0,3.045454545454545,1.782608695652174
1.0,4.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
1.0,4.0,3.0,2.565217391304348,1.409090909090909,1.391304347826087
1.0,3.0,3.0,3.739130434782609,4.2727272727272725,2.1739130434782608
1.0,2.0,1.0,2.9565217391304346,3.454545454545454,2.565217391304348
2.0,3.0,2.0,4.130434782608695,4.681818181818182,1.782608695652174
2.0,4.0,2.0,4.521739130434783,3.8636363636363633,1.391304347826087
2.0,2.0,3.0,1.782608695652174,3.454545454545454,2.1739130434782608
2.0,2.0,1.0,4.130434782608695,2.227272727272727,1.782608695652174
2.0,4.0,1.0,4.130434782608695,3.454545454545454,2.1739130434782608
1.0,3.0,3.0,4.130434782608695,3.8636363636363633,1.782608695652174
2.0,3.0,2.0,2.565217391304348,3.8636363636363633,3.347826086956522
2.0,2.0,2.0,1.391304347826087,3.454545454545454,1.391304347826087
1.0,3.0,3.0,1.0,2.6363636363636367,1.391304347826087
2.0,2.0,2.0,4.521739130434783,2.6363636363636367,2.1739130434782608
1.0,4.0,2.0,5.304347826086957,2.6363636363636367,3.739130434782609
2.0,2.0,4.0,4.521739130434783,4.2727272727272725,2.565217391304348
2.0,3.0,3.0,3.739130434782609,3.454545454545454,1.782608695652174
1.0,4.0,1.0,4.130434782608695,2.227272727272727,1.391304347826087
1.0,3.0,3.0,4.521739130434783,3.454545454545454,1.782608695652174
1.0,3.0,3.0,4.521739130434783,3.454545454545454,1.782608695652174
2.0,3.0,2.0,1.0,3.8636363636363633,1.391304347826087
2.0,3.0,1.0,2.565217391304348,5.909090909090908,2.565217391304348
1.0,1.0,3.0,2.9565217391304346,1.409090909090909,1.0
2.0,2.0,3.0,2.9565217391304346,1.409090909090909,1.782608695652174
1.0,4.0,2.0,4.521739130434783,2.227272727272727,1.782608695652174
2.0,3.0,1.0,1.782608695652174,3.454545454545454,2.565217391304348
1.0,3.0,1.0,1.391304347826087,3.045454545454545,3.739130434782609
2.0,4.0,3.0,2.565217391304348,2.6363636363636367,1.782608695652174
1.0,4.0,3.0,3.347826086956522,3.045454545454545,2.1739130434782608
1.0,3.0,4.0,4.130434782608695,3.454545454545454,1.391304347826087
2.0,3.0,3.0,3.739130434782609,2.227272727272727,2.1739130434782608
2.0,4.0,1.0,2.565217391304348,2.227272727272727,2.1739130434782608
2.0,2.0,1.0,2.1739130434782608,2.227272727272727,2.565217391304348
2.0,2.0,1.0,1.0,2.6363636363636367,2.9565217391304346
1.0,3.0,3.0,2.1739130434782608,3.8636363636363633,2.1739130434782608
1.0,3.0,1.0,2.9565217391304346,3.454545454545454,2.1739130434782608
1.0,4.0,2.0,4.130434782608695,4.681818181818182,1.391304347826087
1.0,3.0,2.0,2.9565217391304346,3.454545454545454,1.782608695652174
2.0,2.0,1.0,2.9565217391304346,1.8181818181818183,1.391304347826087
1.0,3.0,1.0,2.565217391304348,2.227272727272727,2.1739130434782608
1.0,4.0,3.0,3.739130434782609,3.8636363636363633,1.391304347826087
1.0,3.0,3.0,2.565217391304348,3.8636363636363633,2.565217391304348
1.0,4.0,1.0,3.739130434782609,2.227272727272727,2.1739130434782608
2.0,4.0,3.0,5.304347826086957,1.8181818181818183,4.521739130434783
2.0,3.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
1.0,3.0,1.0,1.391304347826087,2.227272727272727,1.782608695652174
2.0,1.0,1.0,3.347826086956522,5.909090909090908,2.565217391304348
2.0,3.0,1.0,2.9565217391304346,2.227272727272727,2.1739130434782608
2.0,3.0,1.0,2.565217391304348,1.8181818181818183,2.1739130434782608
2.0,4.0,1.0,4.913043478260869,1.8181818181818183,4.521739130434783
2.0,3.0,3.0,2.565217391304348,2.6363636363636367,2.1739130434782608
2.0,1.0,4.0,2.9565217391304346,4.681818181818182,2.1739130434782608
1.0,3.0,1.0,2.565217391304348,4.681818181818182,1.782608695652174
2.0,3.0,4.0,4.130434782608695,3.045454545454545,1.0
1.0,4.0,3.0,2.565217391304348,2.6363636363636367,2.565217391304348
2.0,4.0,3.0,2.565217391304348,3.454545454545454,1.782608695652174
2.0,3.0,3.0,2.9565217391304346,2.227272727272727,2.9565217391304346
1.0,4.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
1.0,4.0,2.0,3.347826086956522,3.045454545454545,3.347826086956522
1.0,3.0,3.0,3.739130434782609,3.045454545454545,1.0
1.0,3.0,2.0,3.739130434782609,3.8636363636363633,2.565217391304348
1.0,1.0,1.0,5.304347826086957,1.8181818181818183,1.0
1.0,3.0,1.0,4.913043478260869,2.227272727272727,2.1739130434782608
2.0,4.0,1.0,2.1739130434782608,3.045454545454545,2.1739130434782608
2.0,1.0,2.0,2.1739130434782608,3.045454545454545,1.782608695652174
1.0,3.0,3.0,4.130434782608695,3.8636363636363633,1.391304347826087
1.0,2.0,1.0,1.782608695652174,3.045454545454545,1.391304347826087
2.0,4.0,3.0,4.130434782608695,7.136363636363636,1.782608695652174
1.0,4.0,4.0,2.9565217391304346,3.045454545454545,1.391304347826087
1.0,3.0,4.0,2.565217391304348,5.909090909090908,2.1739130434782608
2.0,3.0,1.0,2.1739130434782608,4.2727272727272725,1.391304347826087
1.0,2.0,4.0,4.130434782608695,5.09090909090909,1.391304347826087
1.0,2.0,3.0,2.565217391304348,5.09090909090909,1.782608695652174
2.0,2.0,4.0,2.565217391304348,2.6363636363636367,2.565217391304348
1.0,5.0,1.0,2.9565217391304346,5.09090909090909,1.391304347826087
1.0,3.0,3.0,2.1739130434782608,4.681818181818182,2.565217391304348
1.0,3.0,3.0,2.565217391304348,4.681818181818182,2.9565217391304346
1.0,3.0,4.0,2.1739130434782608,3.8636363636363633,2.565217391304348
2.0,4.0,2.0,2.565217391304348,2.227272727272727,1.782608695652174
2.0,4.0,4.0,1.0,1.409090909090909,2.9565217391304346
1.0,2.0,2.0,1.782608695652174,1.409090909090909,1.391304347826087
1.0,3.0,1.0,5.304347826086957,3.454545454545454,1.0
2.0,1.0,3.0,6.086956521739131,5.5,2.1739130434782608
2.0,1.0,4.0,2.9565217391304346,3.454545454545454,2.1739130434782608
1.0,3.0,1.0,4.130434782608695,1.0,2.9565217391304346
1.0,3.0,4.0,1.782608695652174,1.0,2.9565217391304346
1.0,2.0,4.0,2.1739130434782608,3.454545454545454,2.9565217391304346
2.0,1.0,4.0,2.565217391304348,2.6363636363636367,1.782608695652174
1.0,3.0,2.0,2.9565217391304346,2.227272727272727,2.1739130434782608
2.0,2.0,3.0,3.739130434782609,3.8636363636363633,1.782608695652174
1.0,3.0,3.0,3.739130434782609,3.8636363636363633,1.782608695652174
1.0,2.0,3.0,2.1739130434782608,1.0,2.565217391304348
1.0,1.0,4.0,2.9565217391304346,3.8636363636363633,2.565217391304348
2.0,3.0,4.0,2.565217391304348,1.8181818181818183,1.0
1.0,3.0,4.0,2.565217391304348,1.409090909090909,4.521739130434783
2.0,1.0,3.0,5.304347826086957,3.8636363636363633,2.1739130434782608
2.0,3.0,1.0,4.521739130434783,3.8636363636363633,2.1739130434782608
2.0,4.0,1.0,3.739130434782609,2.227272727272727,1.391304347826087
2.0,1.0,1.0,4.521739130434783,2.6363636363636367,2.1739130434782608
2.0,2.0,3.0,4.521739130434783,3.454545454545454,1.391304347826087
2.0,2.0,2.0,2.9565217391304346,3.8636363636363633,3.347826086956522
1.0,3.0,3.0,2.565217391304348,1.409090909090909,1.782608695652174
1.0,3.0,2.0,2.1739130434782608,1.8181818181818183,2.1739130434782608
1.0,4.0,1.0,4.130434782608695,2.227272727272727,2.565217391304348
2.0,3.0,1.0,3.739130434782609,2.227272727272727,2.9565217391304346
2.0,2.0,1.0,2.9565217391304346,3.8636363636363633,1.0
2.0,3.0,3.0,3.739130434782609,2.227272727272727,1.782608695652174
1.0,3.0,4.0,3.739130434782609,3.454545454545454,2.1739130434782608
2.0,2.0,2.0,3.739130434782609,1.8181818181818183,1.782608695652174
1.0,4.0,4.0,1.391304347826087,1.0,1.0
1.0,1.0,3.0,3.347826086956522,1.8181818181818183,1.391304347826087
1.0,2.0,3.0,2.1739130434782608,5.09090909090909,1.391304347826087
2.0,4.0,3.0,3.739130434782609,3.045454545454545,2.1739130434782608
1.0,2.0,1.0,1.782608695652174,4.681818181818182,2.1739130434782608
1.0,3.0,1.0,4.521739130434783,4.2727272727272725,1.782608695652174
2.0,3.0,1.0,3.739130434782609,2.227272727272727,2.1739130434782608
2.0,3.0,4.0,3.347826086956522,3.454545454545454,1.0
2.0,3.0,1.0,4.130434782608695,1.8181818181818183,1.782608695652174
2.0,4.0,2.0,3.347826086956522,4.681818181818182,3.347826086956522
2.0,3.0,2.0,2.1739130434782608,3.8636363636363633,2.1739130434782608
1.0,4.0,1.0,3.739130434782609,4.2727272727272725,1.782608695652174
1.0,4.0,1.0,2.9565217391304346,2.6363636363636367,1.0
2.0,2.0,2.0,5.304347826086957,2.6363636363636367,2.1739130434782608
2.0,3.0,2.0,3.347826086956522,3.454545454545454,2.565217391304348
2.0,3.0,1.0,4.130434782608695,4.2727272727272725,2.1739130434782608
2.0,3.0,1.0,4.913043478260869,1.0,1.782608695652174
1.0,4.0,3.0,3.739130434782609,2.6363636363636367,1.391304347826087
2.0,4.0,1.0,1.782608695652174,5.09090909090909,1.391304347826087
1.0,3.0,2.0,2.565217391304348,1.8181818181818183,2.565217391304348
2.0,3.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
2.0,3.0,2.0,4.130434782608695,3.454545454545454,2.1739130434782608
2.0,3.0,1.0,5.304347826086957,5.09090909090909,1.782608695652174
2.0,4.0,1.0,1.391304347826087,2.6363636363636367,1.0
1.0,3.0,3.0,1.782608695652174,1.409090909090909,1.782608695652174
1.0,3.0,1.0,4.913043478260869,2.227272727272727,2.1739130434782608
2.0,1.0,1.0,1.782608695652174,2.6363636363636367,1.782608695652174
2.0,2.0,3.0,5.304347826086957,7.545454545454545,2.1739130434782608
2.0,3.0,4.0,4.913043478260869,5.909090909090908,1.782608695652174
2.0,2.0,4.0,2.1739130434782608,5.5,1.782608695652174
1.0,3.0,3.0,1.782608695652174,3.454545454545454,1.391304347826087
1.0,4.0,2.0,2.565217391304348,2.227272727272727,1.0
1.0,4.0,1.0,1.391304347826087,4.2727272727272725,1.782608695652174
1.0,2.0,4.0,1.782608695652174,3.454545454545454,1.782608695652174
1.0,4.0,4.0,3.347826086956522,2.227272727272727,1.391304347826087
2.0,3.0,4.0,2.565217391304348,7.545454545454545,1.391304347826087
2.0,2.0,4.0,2.9565217391304346,1.8181818181818183,2.1739130434782608
2.0,2.0,1.0,2.9565217391304346,2.227272727272727,1.391304347826087
1.0,3.0,2.0,1.782608695652174,1.8181818181818183,1.782608695652174
2.0,2.0,3.0,1.782608695652174,2.6363636363636367,2.9565217391304346
2.0,3.0,1.0,2.9565217391304346,1.409090909090909,1.782608695652174
2.0,3.0,3.0,2.1739130434782608,3.8636363636363633,1.391304347826087
1.0,1.0,1.0,1.391304347826087,3.8636363636363633,1.782608695652174
1.0,2.0,3.0,2.1739130434782608,3.454545454545454,1.391304347826087
2.0,1.0,2.0,2.1739130434782608,3.454545454545454,1.0
1.0,2.0,1.0,5.304347826086957,4.681818181818182,2.9565217391304346
1.0,1.0,4.0,2.9565217391304346,3.045454545454545,2.9565217391304346
2.0,3.0,4.0,2.1739130434782608,1.8181818181818183,1.782608695652174
2.0,3.0,1.0,2.9565217391304346,1.8181818181818183,1.391304347826087
2.0,3.0,4.0,4.130434782608695,2.227272727272727,2.565217391304348
1.0,3.0,1.0,2.565217391304348,2.6363636363636367,1.0
1.0,2.0,4.0,4.130434782608695,4.2727272727272725,2.1739130434782608
2.0,1.0,2.0,1.782608695652174,3.454545454545454,1.391304347826087
1.0,3.0,3.0,3.739130434782609,3.045454545454545,1.782608695652174
2.0,1.0,1.0,3.347826086956522,1.8181818181818183,1.0
1.0,2.0,1.0,2.1739130434782608,2.6363636363636367,1.391304347826087
1.0,3.0,3.0,2.1739130434782608,3.8636363636363633,2.1739130434782608
1.0,4.0,1.0,1.391304347826087,1.409090909090909,1.391304347826087
2.0,3.0,1.0,2.1739130434782608,1.8181818181818183,1.0
1.0,2.0,3.0,1.782608695652174,2.6363636363636367,1.0
1.0,4.0,4.0,1.782608695652174,2.6363636363636367,1.782608695652174
2.0,2.0,1.0,1.391304347826087,1.8181818181818183,2.1739130434782608
1.0,3.0,1.0,1.391304347826087,1.8181818181818183,1.391304347826087
1.0,3.0,3.0,3.739130434782609,6.3181818181818175,1.391304347826087
2.0,4.0,1.0,1.782608695652174,1.8181818181818183,1.391304347826087
1.0,3.0,1.0,4.521739130434783,1.8181818181818183,3.739130434782609
1.0,3.0,1.0,2.565217391304348,1.8181818181818183,1.782608695652174
2.0,3.0,4.0,1.782608695652174,3.454545454545454,1.782608695652174
2.0,1.0,2.0,3.739130434782609,2.227272727272727,1.0
2.0,3.0,4.0,5.695652173913044,1.8181818181818183,4.521739130434783
1.0,5.0,3.0,1.782608695652174,2.227272727272727,2.565217391304348
1.0,2.0,1.0,2.1739130434782608,5.09090909090909,1.0
1.0,3.0,4.0,2.9565217391304346,5.909090909090908,2.1739130434782608
2.0,2.0,1.0,2.9565217391304346,3.045454545454545,2.1739130434782608
1.0,3.0,3.0,2.9565217391304346,3.045454545454545,1.391304347826087
2.0,3.0,3.0,1.782608695652174,4.2727272727272725,2.565217391304348
2.0,3.0,4.0,5.304347826086957,1.0,1.391304347826087
1.0,4.0,2.0,4.130434782608695,4.2727272727272725,1.782608695652174
2.0,3.0,1.0,2.9565217391304346,1.409090909090909,1.782608695652174
2.0,3.0,4.0,1.782608695652174,1.409090909090909,1.391304347826087
1.0,2.0,4.0,2.9565217391304346,1.409090909090909,1.782608695652174
2.0,2.0,4.0,2.1739130434782608,1.8181818181818183,1.0
1.0,4.0,1.0,1.0,4.681818181818182,1.782608695652174
1.0,5.0,3.0,2.9565217391304346,3.045454545454545,1.391304347826087
1.0,4.0,3.0,3.739130434782609,1.409090909090909,1.391304347826087
1.0,1.0,4.0,1.0,1.8181818181818183,2.1739130434782608
2.0,3.0,2.0,4.521739130434783,2.6363636363636367,2.1739130434782608
2.0,2.0,3.0,1.782608695652174,1.0,2.565217391304348
2.0,2.0,4.0,1.782608695652174,1.409090909090909,2.565217391304348
1.0,3.0,4.0,1.782608695652174,1.8181818181818183,1.782608695652174
2.0,1.0,2.0,1.782608695652174,2.227272727272727,1.0
2.0,2.0,1.0,2.565217391304348,3.8636363636363633,1.0
2.0,2.0,2.0,2.1739130434782608,2.6363636363636367,1.391304347826087
2.0,4.0,1.0,4.130434782608695,2.227272727272727,2.565217391304348
2.0,4.0,3.0,3.347826086956522,2.227272727272727,2.1739130434782608
2.0,2.0,4.0,2.565217391304348,2.227272727272727,1.782608695652174
1.0,1.0,2.0,3.347826086956522,3.045454545454545,2.565217391304348
2.0,3.0,4.0,5.304347826086957,2.227272727272727,1.0
1.0,3.0,1.0,2.1739130434782608,3.8636363636363633,7.260869565217392
2.0,2.0,2.0,4.130434782608695,5.09090909090909,1.0
2.0,4.0,2.0,4.913043478260869,2.227272727272727,2.565217391304348
2.0,3.0,2.0,2.9565217391304346,2.6363636363636367,2.565217391304348
1.0,2.0,4.0,2.565217391304348,2.6363636363636367,1.782608695652174
2.0,1.0,4.0,3.739130434782609,1.8181818181818183,1.0
1.0,3.0,3.0,2.1739130434782608,3.045454545454545,1.782608695652174
1.0,4.0,4.0,4.130434782608695,3.045454545454545,3.347826086956522
1.0,4.0,2.0,3.739130434782609,5.909090909090908,1.391304347826087
2.0,1.0,2.0,1.391304347826087,1.409090909090909,1.782608695652174
2.0,3.0,1.0,2.1739130434782608,4.681818181818182,2.1739130434782608
1.0,2.0,3.0,3.347826086956522,1.409090909090909,1.391304347826087
2.0,1.0,4.0,3.739130434782609,1.409090909090909,1.391304347826087
1.0,1.0,4.0,3.347826086956522,3.8636363636363633,2.9565217391304346
2.0,3.0,3.0,2.1739130434782608,1.0,2.565217391304348
1.0,3.0,1.0,3.347826086956522,2.6363636363636367,1.391304347826087
1.0,4.0,4.0,3.347826086956522,1.0,1.782608695652174
1.0,2.0,1.0,5.304347826086957,2.6363636363636367,2.1739130434782608
2.0,1.0,4.0,3.739130434782609,3.045454545454545,1.391304347826087
2.0,3.0,1.0,2.1739130434782608,1.8181818181818183,1.391304347826087
1.0,1.0,4.0,3.347826086956522,3.8636363636363633,1.782608695652174
1.0,1.0,3.0,4.521739130434783,4.2727272727272725,1.391304347826087
2.0,2.0,2.0,1.0,4.2727272727272725,1.0
2.0,1.0,3.0,5.304347826086957,3.454545454545454,1.391304347826087
2.0,3.0,1.0,2.1739130434782608,1.409090909090909,2.9565217391304346
2.0,3.0,1.0,3.347826086956522,3.454545454545454,1.782608695652174
2.0,3.0,2.0,2.1739130434782608,5.5,2.1739130434782608
1.0,3.0,2.0,2.1739130434782608,1.409090909090909,1.391304347826087
2.0,2.0,1.0,5.304347826086957,1.409090909090909,3.739130434782609
2.0,2.0,3.0,3.347826086956522,3.8636363636363633,2.1739130434782608
2.0,2.0,1.0,3.347826086956522,1.8181818181818183,2.1739130434782608
1.0,3.0,4.0,4.130434782608695,2.6363636363636367,1.782608695652174
1.0,2.0,2.0,2.9565217391304346,4.2727272727272725,2.1739130434782608
1.0,3.0,1.0,1.391304347826087,2.6363636363636367,1.782608695652174
1.0,2.0,4.0,4.130434782608695,3.454545454545454,1.0
1.0,3.0,1.0,1.391304347826087,2.227272727272727,1.0
1.0,4.0,1.0,1.391304347826087,1.8181818181818183,1.391304347826087
2.0,3.0,3.0,2.1739130434782608,1.8181818181818183,1.782608695652174
1.0,1.0,1.0,1.391304347826087,1.8181818181818183,1.782608695652174
1.0,2.0,3.0,2.565217391304348,3.454545454545454,1.782608695652174
2.0,2.0,2.0,2.1739130434782608,1.8181818181818183,1.391304347826087
1.0,1.0,4.0,8.043478260869566,6.727272727272727,4.521739130434783
2.0,3.0,1.0,4.130434782608695,7.954545454545454,6.478260869565218
2.0,3.0,4.0,3.347826086956522,5.09090909090909,2.565217391304348
2.0,2.0,3.0,3.347826086956522,1.409090909090909,1.782608695652174
2.0,2.0,3.0,3.739130434782609,3.045454545454545,2.565217391304348
2.0,2.0,2.0,2.565217391304348,5.09090909090909,1.0
1.0,1.0,1.0,2.9565217391304346,2.227272727272727,1.782608695652174
1.0,4.0,2.0,2.565217391304348,2.227272727272727,2.565217391304348
1.0,3.0,3.0,3.739130434782609,3.454545454545454,2.565217391304348
1.0,1.0,3.0,3.347826086956522,3.045454545454545,1.391304347826087
1.0,1.0,4.0,2.9565217391304346,3.8636363636363633,1.391304347826087
2.0,3.0,4.0,2.9565217391304346,4.2727272727272725,1.391304347826087
2.0,3.0,1.0,2.1739130434782608,4.2727272727272725,2.565217391304348
1.0,1.0,1.0,5.304347826086957,7.545454545454545,1.782608695652174
1.0,1.0,3.0,3.347826086956522,4.681818181818182,1.782608695652174
2.0,1.0,1.0,2.565217391304348,1.409090909090909,1.0
2.0,1.0,4.0,3.739130434782609,1.409090909090909,1.391304347826087
1.0,1.0,4.0,3.347826086956522,3.8636363636363633,5.304347826086957
2.0,3.0,4.0,2.9565217391304346,1.409090909090909,2.1739130434782608
2.0,1.0,3.0,2.9565217391304346,3.045454545454545,2.565217391304348
2.0,2.0,3.0,4.130434782608695,10.0,2.9565217391304346
2.0,3.0,3.0,2.1739130434782608,4.681818181818182,2.1739130434782608
2.0,3.0,2.0,4.130434782608695,3.8636363636363633,3.347826086956522
2.0,1.0,2.0,1.782608695652174,1.409090909090909,1.391304347826087
2.0,1.0,3.0,1.782608695652174,1.8181818181818183,1.782608695652174
2.0,2.0,3.0,1.782608695652174,1.409090909090909,1.782608695652174
2.0,2.0,4.0,3.347826086956522,3.045454545454545,2.9565217391304346
2.0,3.0,2.0,1.391304347826087,2.6363636363636367,2.9565217391304346
2.0,3.0,3.0,3.739130434782609,3.8636363636363633,2.1739130434782608
1.0,4.0,1.0,3.347826086956522,5.09090909090909,1.391304347826087
1.0,1.0,2.0,2.1739130434782608,3.045454545454545,1.782608695652174
2.0,2.0,3.0,1.782608695652174,2.227272727272727,1.782608695652174
1.0,3.0,1.0,3.739130434782609,4.681818181818182,2.9565217391304346
2.0,3.0,3.0,2.1739130434782608,1.8181818181818183,1.782608695652174
