sexo,escol,Tam_loc,agg_moral_normative_conservatism,agg_national_identity_pride,agg_personal_optimism_efficacy,agg_tolerance_social_diversity
1.0,5.0,1.0,3.4,1.0,3.25,2.7142857142857144
2.0,3.0,2.0,3.4,3.25,5.05,3.142857142857143
1.0,4.0,1.0,4.9,3.25,4.6,2.7142857142857144
1.0,3.0,1.0,4.300000000000001,3.25,4.6,2.2857142857142856
2.0,3.0,1.0,4.6,2.125,5.05,2.2857142857142856
2.0,2.0,2.0,3.4,3.25,5.05,2.2857142857142856
2.0,4.0,3.0,2.5,2.125,2.35,1.8571428571428572
1.0,3.0,1.0,2.8,1.0,3.25,2.2857142857142856
1.0,1.0,2.0,6.699999999999999,2.125,2.8,2.2857142857142856
2.0,4.0,1.0,2.8,3.25,1.9,1.8571428571428572
2.0,3.0,1.0,3.6999999999999997,2.125,4.15,2.2857142857142856
2.0,1.0,2.0,3.4,1.0,2.8,2.2857142857142856
1.0,2.0,2.0,2.8,1.0,3.7,2.2857142857142856
2.0,4.0,2.0,3.4,2.125,2.35,2.2857142857142856
2.0,3.0,1.0,4.300000000000001,2.125,5.05,2.2857142857142856
1.0,4.0,1.0,1.9,1.0,2.35,1.4285714285714284
2.0,4.0,1.0,3.1,2.125,4.6,2.7142857142857144
2.0,3.0,4.0,3.1,2.125,2.8,1.8571428571428572
2.0,2.0,2.0,4.300000000000001,1.0,4.15,4.0
2.0,4.0,1.0,3.1,1.0,1.45,3.142857142857143
2.0,2.0,4.0,4.0,1.0,2.8,3.142857142857143
1.0,3.0,2.0,4.300000000000001,1.0,3.7,2.2857142857142856
2.0,1.0,3.0,4.6,1.0,3.25,3.142857142857143
1.0,3.0,1.0,3.1,1.0,5.5,2.7142857142857144
1.0,3.0,1.0,3.4,2.125,3.25,4.857142857142858
1.0,1.0,4.0,3.4,3.25,3.7,5.285714285714286
2.0,4.0,2.0,6.3999999999999995,2.125,9.1,2.7142857142857144
1.0,4.0,1.0,3.1,1.0,4.15,2.2857142857142856
2.0,1.0,1.0,2.5,1.0,1.9,3.5714285714285716
2.0,2.0,4.0,6.699999999999999,1.0,2.8,3.5714285714285716
1.0,3.0,2.0,8.2,1.0,3.7,5.285714285714286
2.0,2.0,3.0,4.0,1.0,3.7,2.2857142857142856
1.0,3.0,2.0,2.8,1.0,8.65,7.857142857142857
2.0,1.0,4.0,3.4,1.0,3.25,2.7142857142857144
2.0,3.0,3.0,4.6,1.0,6.85,2.7142857142857144
2.0,4.0,2.0,3.1,1.0,1.9,2.2857142857142856
1.0,2.0,2.0,2.8,1.0,2.8,3.5714285714285716
1.0,4.0,2.0,9.1,1.0,5.5,4.428571428571429
1.0,3.0,1.0,3.4,2.125,3.7,2.7142857142857144
1.0,4.0,2.0,3.6999999999999997,1.0,1.9,2.2857142857142856
2.0,2.0,4.0,2.8,1.0,1.9,2.2857142857142856
2.0,2.0,1.0,4.9,1.0,3.25,3.142857142857143
2.0,3.0,1.0,3.4,1.0,3.7,1.8571428571428572
2.0,4.0,2.0,3.4,1.0,4.6,4.428571428571429
2.0,4.0,1.0,2.8,1.0,2.8,1.4285714285714284
1.0,2.0,2.0,3.4,3.25,3.25,2.2857142857142856
2.0,3.0,2.0,3.1,1.0,3.25,3.142857142857143
1.0,4.0,3.0,3.6999999999999997,1.0,2.35,2.2857142857142856
2.0,4.0,1.0,2.5,2.125,2.35,2.7142857142857144
1.0,3.0,3.0,4.6,1.0,1.0,8.714285714285715
2.0,5.0,1.0,1.5999999999999999,1.0,2.35,1.4285714285714284
2.0,3.0,4.0,3.1,1.0,4.15,2.7142857142857144
1.0,4.0,1.0,2.2,1.0,7.75,1.4285714285714284
1.0,3.0,1.0,1.9,2.125,5.5,1.4285714285714284
2.0,3.0,1.0,3.1,1.0,3.25,2.7142857142857144
2.0,2.0,1.0,1.9,1.0,6.4,3.142857142857143
2.0,4.0,1.0,3.4,2.125,2.35,2.7142857142857144
2.0,1.0,1.0,3.4,1.0,2.8,1.4285714285714284
2.0,4.0,1.0,3.4,1.0,2.8,2.2857142857142856
2.0,2.0,3.0,6.699999999999999,1.0,8.65,4.0
2.0,1.0,3.0,3.1,1.0,3.25,4.0
1.0,5.0,2.0,2.5,2.125,1.9,3.142857142857143
2.0,3.0,2.0,2.2,1.0,2.35,5.285714285714286
1.0,2.0,3.0,3.4,1.0,3.25,3.5714285714285716
2.0,5.0,1.0,3.1,1.0,3.25,2.2857142857142856
1.0,4.0,3.0,1.9,1.0,1.9,1.4285714285714284
1.0,4.0,1.0,3.4,1.0,3.25,2.7142857142857144
2.0,4.0,1.0,2.5,2.125,3.25,3.142857142857143
2.0,4.0,1.0,4.6,1.0,3.25,4.428571428571429
1.0,4.0,4.0,3.4,1.0,3.25,2.7142857142857144
1.0,5.0,1.0,2.2,1.0,1.45,3.5714285714285716
1.0,5.0,1.0,4.300000000000001,2.125,5.95,2.2857142857142856
2.0,5.0,3.0,4.9,2.125,3.25,2.7142857142857144
2.0,4.0,2.0,2.5,2.125,1.9,1.8571428571428572
2.0,3.0,3.0,3.4,2.125,2.35,1.8571428571428572
2.0,1.0,2.0,3.6999999999999997,1.0,3.25,1.4285714285714284
1.0,4.0,4.0,4.0,1.0,2.35,1.8571428571428572
2.0,4.0,4.0,2.8,1.0,1.9,2.7142857142857144
2.0,3.0,4.0,3.4,1.0,7.3,2.7142857142857144
2.0,2.0,4.0,4.0,1.0,1.45,2.2857142857142856
1.0,4.0,2.0,4.9,1.0,1.45,2.2857142857142856
1.0,1.0,4.0,2.8,1.0,3.7,2.2857142857142856
1.0,2.0,1.0,2.5,3.25,2.35,1.8571428571428572
1.0,1.0,4.0,2.5,1.0,2.8,2.7142857142857144
2.0,2.0,1.0,3.1,1.0,3.25,3.142857142857143
1.0,3.0,1.0,3.1,1.0,5.05,2.2857142857142856
1.0,2.0,1.0,3.4,3.25,3.25,2.2857142857142856
1.0,3.0,1.0,3.1,1.0,1.9,3.142857142857143
2.0,3.0,4.0,3.4,1.0,2.35,3.142857142857143
2.0,4.0,1.0,3.4,1.0,1.45,1.4285714285714284
1.0,3.0,1.0,4.0,1.0,2.35,2.2857142857142856
1.0,4.0,1.0,3.6999999999999997,2.125,2.35,3.5714285714285716
2.0,3.0,1.0,3.1,2.125,1.9,1.8571428571428572
1.0,1.0,4.0,2.5,1.0,3.25,1.8571428571428572
1.0,1.0,4.0,3.6999999999999997,1.0,3.25,4.0
2.0,3.0,4.0,3.6999999999999997,1.0,2.8,3.142857142857143
1.0,1.0,4.0,2.5,1.0,2.8,1.8571428571428572
2.0,3.0,1.0,1.5999999999999999,1.0,4.15,1.0
1.0,2.0,1.0,2.8,2.125,4.6,2.2857142857142856
2.0,3.0,1.0,4.0,2.125,1.45,2.2857142857142856
1.0,3.0,1.0,3.1,4.375,4.15,5.285714285714286
1.0,2.0,2.0,2.8,2.125,3.25,2.7142857142857144
1.0,3.0,1.0,3.4,2.125,3.7,2.2857142857142856
1.0,1.0,4.0,3.6999999999999997,1.0,5.05,3.5714285714285716
2.0,2.0,3.0,6.3999999999999995,1.0,2.35,3.142857142857143
2.0,3.0,1.0,2.2,1.0,3.25,1.8571428571428572
1.0,3.0,1.0,8.5,1.0,3.7,2.2857142857142856
2.0,3.0,1.0,3.1,1.0,4.15,1.8571428571428572
1.0,3.0,3.0,2.8,1.0,4.15,2.2857142857142856
2.0,3.0,2.0,3.4,3.25,4.15,2.7142857142857144
1.0,3.0,3.0,3.4,4.375,3.7,6.571428571428571
2.0,4.0,1.0,3.6999999999999997,1.0,4.6,1.8571428571428572
2.0,3.0,4.0,3.1,1.0,2.35,5.285714285714286
1.0,3.0,3.0,2.8,1.0,1.0,1.4285714285714284
2.0,3.0,2.0,4.9,4.375,2.8,2.7142857142857144
1.0,3.0,3.0,5.8,1.0,3.25,2.7142857142857144
2.0,3.0,2.0,4.6,1.0,4.15,2.7142857142857144
1.0,2.0,1.0,3.4,2.125,4.6,1.8571428571428572
2.0,1.0,1.0,2.8,2.125,4.15,2.2857142857142856
1.0,3.0,3.0,3.4,2.125,2.35,2.7142857142857144
2.0,3.0,1.0,2.2,1.0,3.7,2.7142857142857144
2.0,4.0,1.0,3.1,2.125,4.6,2.7142857142857144
1.0,5.0,1.0,1.2999999999999998,2.125,2.35,3.142857142857143
2.0,2.0,4.0,5.5,1.0,6.85,2.2857142857142856
2.0,4.0,1.0,2.8,3.25,1.0,4.857142857142858
1.0,3.0,1.0,2.8,1.0,3.7,2.2857142857142856
2.0,2.0,1.0,2.2,1.0,2.35,1.8571428571428572
2.0,3.0,1.0,2.8,3.25,2.35,4.0
1.0,4.0,1.0,2.8,1.0,3.25,1.4285714285714284
2.0,1.0,2.0,2.8,4.375,3.7,2.7142857142857144
2.0,1.0,3.0,6.699999999999999,1.0,5.5,2.7142857142857144
2.0,3.0,1.0,2.8,1.0,3.7,1.8571428571428572
2.0,3.0,1.0,3.4,1.0,5.05,1.8571428571428572
2.0,2.0,1.0,2.5,1.0,3.25,3.5714285714285716
1.0,1.0,4.0,1.9,1.0,3.7,2.2857142857142856
1.0,2.0,4.0,3.4,1.0,2.8,4.428571428571429
1.0,4.0,1.0,6.3999999999999995,1.0,3.25,3.142857142857143
1.0,2.0,3.0,5.5,1.0,3.7,4.0
2.0,2.0,2.0,4.6,1.0,2.8,2.7142857142857144
2.0,4.0,1.0,2.8,2.125,4.15,2.2857142857142856
1.0,3.0,3.0,3.1,1.0,3.25,1.8571428571428572
1.0,2.0,1.0,2.8,1.0,3.7,2.2857142857142856
2.0,4.0,3.0,2.5,2.125,1.9,1.8571428571428572
1.0,1.0,2.0,4.0,1.0,3.7,3.5714285714285716
2.0,2.0,3.0,2.8,1.0,3.25,1.8571428571428572
1.0,5.0,2.0,3.1,1.0,1.45,2.2857142857142856
2.0,3.0,2.0,2.8,1.0,4.15,1.8571428571428572
2.0,4.0,3.0,2.5,1.0,2.35,1.0
1.0,4.0,2.0,5.2,1.0,6.4,1.8571428571428572
1.0,5.0,1.0,7.6000000000000005,1.0,1.45,3.142857142857143
2.0,2.0,1.0,1.5999999999999999,2.125,2.8,4.857142857142858
2.0,3.0,3.0,5.2,1.0,1.0,5.285714285714286
1.0,3.0,1.0,3.4,1.0,2.35,1.4285714285714284
1.0,4.0,1.0,4.0,2.125,4.6,2.2857142857142856
1.0,3.0,1.0,2.8,1.0,4.6,2.7142857142857144
1.0,3.0,1.0,4.6,1.0,3.25,2.7142857142857144
1.0,3.0,1.0,8.2,2.125,5.95,2.2857142857142856
1.0,3.0,1.0,3.1,1.0,1.9,3.142857142857143
1.0,5.0,1.0,1.2999999999999998,2.125,1.0,1.0
1.0,4.0,1.0,2.8,2.125,6.4,2.7142857142857144
2.0,3.0,1.0,5.8,1.0,5.5,3.142857142857143
1.0,2.0,2.0,3.4,1.0,2.35,2.7142857142857144
2.0,4.0,1.0,5.5,6.625,2.8,2.2857142857142856
2.0,2.0,3.0,5.8,1.0,3.7,3.142857142857143
1.0,4.0,1.0,3.4,1.0,3.25,2.7142857142857144
1.0,3.0,3.0,4.0,1.0,3.25,2.2857142857142856
1.0,4.0,1.0,2.8,1.0,3.25,2.7142857142857144
2.0,2.0,2.0,3.4,5.5,5.95,3.142857142857143
2.0,1.0,2.0,3.1,1.0,2.35,4.0
1.0,3.0,1.0,5.8,1.0,6.85,2.7142857142857144
1.0,4.0,3.0,1.9,1.0,7.3,5.285714285714286
2.0,4.0,1.0,3.1,2.125,5.05,2.7142857142857144
2.0,3.0,3.0,3.4,1.0,2.8,2.2857142857142856
1.0,4.0,1.0,2.2,2.125,3.7,1.4285714285714284
1.0,3.0,2.0,6.3999999999999995,1.0,3.7,2.7142857142857144
1.0,3.0,2.0,2.8,3.25,4.6,2.7142857142857144
1.0,4.0,1.0,2.5,1.0,4.15,4.0
2.0,4.0,1.0,4.0,2.125,4.6,3.142857142857143
1.0,3.0,3.0,3.1,1.0,5.05,2.2857142857142856
1.0,3.0,1.0,5.8,2.125,4.15,1.8571428571428572
2.0,3.0,4.0,5.2,3.25,4.15,2.7142857142857144
1.0,4.0,3.0,3.4,1.0,2.8,3.142857142857143
2.0,1.0,1.0,2.5,1.0,3.25,4.0
2.0,2.0,1.0,4.9,1.0,1.45,2.7142857142857144
1.0,2.0,2.0,4.6,2.125,4.15,2.7142857142857144
1.0,3.0,2.0,1.9,2.125,1.9,1.4285714285714284
1.0,4.0,1.0,3.1,1.0,3.25,1.8571428571428572
2.0,4.0,1.0,5.5,2.125,5.95,2.7142857142857144
1.0,3.0,2.0,1.5999999999999999,2.125,3.25,2.2857142857142856
1.0,4.0,1.0,3.4,2.125,2.35,3.142857142857143
1.0,3.0,3.0,6.1000000000000005,1.0,3.25,2.2857142857142856
2.0,4.0,1.0,2.5,2.125,2.35,1.4285714285714284
1.0,5.0,1.0,2.8,1.0,2.35,2.2857142857142856
2.0,2.0,2.0,4.0,1.0,5.5,2.2857142857142856
2.0,3.0,2.0,2.8,1.0,3.25,2.7142857142857144
2.0,2.0,3.0,6.699999999999999,2.125,8.2,4.428571428571429
2.0,3.0,2.0,3.6999999999999997,2.125,3.25,2.2857142857142856
2.0,5.0,1.0,1.9,1.0,2.8,2.7142857142857144
2.0,4.0,1.0,3.1,1.0,2.35,2.7142857142857144
1.0,2.0,4.0,4.0,1.0,4.6,1.8571428571428572
1.0,3.0,2.0,3.4,1.0,2.8,1.8571428571428572
2.0,2.0,1.0,2.2,2.125,1.45,4.428571428571429
2.0,2.0,4.0,3.6999999999999997,1.0,2.8,2.7142857142857144
2.0,3.0,1.0,5.5,1.0,1.45,1.4285714285714284
2.0,2.0,1.0,6.1000000000000005,1.0,7.75,8.285714285714285
2.0,3.0,2.0,3.4,5.5,5.05,4.857142857142858
2.0,4.0,1.0,5.2,1.0,3.7,2.2857142857142856
1.0,2.0,4.0,2.5,2.125,4.15,4.0
2.0,1.0,3.0,2.8,2.125,2.35,1.8571428571428572
1.0,2.0,3.0,3.1,1.0,2.8,1.0
1.0,4.0,4.0,3.1,2.125,3.7,2.7142857142857144
1.0,4.0,1.0,6.1000000000000005,1.0,5.5,2.2857142857142856
1.0,4.0,1.0,3.6999999999999997,2.125,3.7,5.714285714285714
1.0,4.0,1.0,4.6,2.125,3.25,2.7142857142857144
2.0,4.0,1.0,5.8,2.125,5.05,2.2857142857142856
1.0,4.0,4.0,3.1,1.0,1.0,2.2857142857142856
1.0,2.0,3.0,5.5,2.125,6.85,4.857142857142858
1.0,4.0,4.0,5.2,1.0,2.8,2.2857142857142856
2.0,1.0,3.0,3.1,1.0,4.6,2.2857142857142856
1.0,1.0,1.0,3.4,1.0,3.7,3.5714285714285716
2.0,1.0,2.0,2.8,1.0,3.25,2.2857142857142856
2.0,1.0,3.0,3.4,1.0,4.6,1.8571428571428572
1.0,2.0,3.0,2.5,2.125,2.35,2.2857142857142856
1.0,1.0,4.0,5.2,2.125,2.35,4.857142857142858
2.0,2.0,1.0,3.1,1.0,3.7,2.2857142857142856
2.0,3.0,1.0,4.300000000000001,1.0,3.25,2.2857142857142856
2.0,3.0,4.0,2.8,1.0,1.9,2.7142857142857144
1.0,3.0,3.0,4.9,1.0,6.4,4.428571428571429
2.0,3.0,4.0,3.6999999999999997,1.0,4.6,2.2857142857142856
2.0,3.0,2.0,2.2,1.0,2.35,5.285714285714286
2.0,2.0,2.0,2.5,2.125,3.25,2.2857142857142856
2.0,4.0,1.0,2.2,1.0,1.45,2.7142857142857144
2.0,4.0,1.0,3.4,2.125,4.15,1.8571428571428572
2.0,3.0,2.0,2.5,2.125,2.35,2.2857142857142856
2.0,3.0,4.0,1.9,2.125,1.45,1.8571428571428572
1.0,2.0,4.0,1.0,1.0,5.5,1.8571428571428572
2.0,1.0,3.0,2.5,1.0,3.7,1.0
1.0,3.0,4.0,3.1,1.0,4.15,2.2857142857142856
2.0,3.0,4.0,1.9,1.0,2.35,1.4285714285714284
2.0,3.0,3.0,3.6999999999999997,1.0,2.35,1.8571428571428572
1.0,3.0,1.0,2.5,3.25,2.8,2.7142857142857144
2.0,3.0,1.0,2.8,1.0,3.7,1.8571428571428572
1.0,4.0,1.0,3.4,1.0,3.7,4.428571428571429
1.0,3.0,1.0,4.300000000000001,3.25,3.25,1.8571428571428572
1.0,3.0,2.0,2.5,2.125,3.7,2.2857142857142856
1.0,3.0,2.0,5.2,2.125,2.8,3.142857142857143
2.0,3.0,1.0,4.6,1.0,3.25,3.5714285714285716
1.0,4.0,3.0,3.4,2.125,4.6,4.428571428571429
1.0,2.0,2.0,4.6,2.125,4.15,3.142857142857143
2.0,1.0,1.0,5.5,1.0,2.8,2.7142857142857144
2.0,3.0,3.0,4.0,1.0,3.7,2.7142857142857144
1.0,4.0,1.0,2.8,1.0,2.8,3.142857142857143
2.0,2.0,2.0,4.300000000000001,3.25,4.15,2.7142857142857144
2.0,3.0,3.0,5.2,2.125,5.5,2.7142857142857144
2.0,1.0,3.0,8.2,1.0,3.7,4.428571428571429
1.0,2.0,4.0,4.0,2.125,3.7,4.857142857142858
1.0,2.0,1.0,5.8,1.0,4.15,3.5714285714285716
2.0,3.0,3.0,2.8,3.25,7.3,4.0
1.0,2.0,2.0,6.699999999999999,1.0,3.25,2.2857142857142856
2.0,3.0,1.0,2.8,3.25,2.8,2.2857142857142856
1.0,3.0,1.0,2.5,2.125,3.7,3.5714285714285716
1.0,5.0,1.0,2.5,1.0,8.2,2.2857142857142856
1.0,5.0,1.0,5.8,1.0,4.15,1.8571428571428572
1.0,3.0,2.0,4.0,1.0,5.05,3.142857142857143
1.0,3.0,1.0,8.2,1.0,3.25,3.142857142857143
2.0,3.0,2.0,6.3999999999999995,3.25,6.4,1.0
1.0,3.0,1.0,4.0,1.0,1.45,3.142857142857143
1.0,2.0,4.0,3.4,3.25,4.6,3.142857142857143
2.0,4.0,1.0,3.4,1.0,4.6,4.428571428571429
1.0,4.0,3.0,5.5,1.0,2.8,3.142857142857143
1.0,3.0,1.0,2.8,1.0,3.7,2.2857142857142856
1.0,3.0,1.0,4.9,3.25,5.05,2.2857142857142856
2.0,2.0,1.0,8.8,2.125,5.95,5.285714285714286
2.0,1.0,3.0,3.4,6.625,2.35,3.142857142857143
1.0,3.0,4.0,3.1,3.25,5.05,3.5714285714285716
2.0,3.0,1.0,5.8,1.0,2.35,3.142857142857143
2.0,3.0,2.0,4.9,1.0,3.7,4.857142857142858
2.0,3.0,3.0,5.2,1.0,4.15,3.5714285714285716
1.0,3.0,4.0,3.6999999999999997,1.0,5.5,4.0
1.0,3.0,3.0,4.300000000000001,4.375,3.7,6.142857142857143
2.0,2.0,1.0,5.8,3.25,5.95,2.2857142857142856
2.0,3.0,4.0,3.4,3.25,5.05,2.7142857142857144
2.0,3.0,1.0,2.2,1.0,10.0,2.2857142857142856
1.0,3.0,3.0,3.4,2.125,2.8,2.7142857142857144
1.0,2.0,1.0,3.6999999999999997,1.0,3.25,3.142857142857143
1.0,3.0,1.0,2.8,1.0,2.8,3.5714285714285716
2.0,3.0,2.0,4.0,2.125,3.25,2.7142857142857144
2.0,3.0,1.0,3.6999999999999997,1.0,2.8,2.2857142857142856
1.0,4.0,1.0,5.5,1.0,5.95,1.8571428571428572
1.0,4.0,1.0,4.9,1.0,2.8,2.7142857142857144
2.0,5.0,1.0,1.5999999999999999,2.125,1.9,1.8571428571428572
2.0,3.0,1.0,1.5999999999999999,1.0,3.7,2.2857142857142856
1.0,2.0,1.0,3.4,1.0,4.15,2.7142857142857144
2.0,2.0,1.0,3.4,1.0,3.25,1.8571428571428572
2.0,5.0,1.0,2.8,1.0,5.5,2.2857142857142856
1.0,4.0,1.0,2.8,3.25,3.25,1.8571428571428572
1.0,4.0,1.0,1.9,3.25,3.7,2.7142857142857144
2.0,2.0,1.0,3.6999999999999997,1.0,9.1,1.8571428571428572
1.0,4.0,1.0,2.2,10.0,3.25,2.2857142857142856
2.0,5.0,1.0,2.5,1.0,1.45,3.5714285714285716
2.0,2.0,3.0,2.5,2.125,3.25,1.8571428571428572
2.0,3.0,1.0,3.4,1.0,4.15,1.8571428571428572
1.0,3.0,1.0,3.1,2.125,4.6,2.7142857142857144
1.0,3.0,4.0,3.4,1.0,2.35,3.142857142857143
2.0,3.0,1.0,6.699999999999999,2.125,7.3,2.2857142857142856
1.0,4.0,2.0,3.4,2.125,5.5,2.7142857142857144
2.0,1.0,4.0,2.2,1.0,4.15,1.8571428571428572
2.0,4.0,1.0,2.2,1.0,1.9,4.0
2.0,3.0,4.0,1.5999999999999999,1.0,3.7,1.8571428571428572
1.0,4.0,1.0,3.4,1.0,1.45,1.8571428571428572
2.0,5.0,1.0,1.9,1.0,1.0,2.7142857142857144
2.0,3.0,4.0,3.1,1.0,5.95,2.7142857142857144
2.0,3.0,1.0,2.8,1.0,5.95,2.7142857142857144
2.0,5.0,1.0,3.1,3.25,4.15,2.7142857142857144
1.0,4.0,1.0,2.2,1.0,1.0,2.7142857142857144
2.0,4.0,4.0,4.0,1.0,2.8,2.7142857142857144
2.0,3.0,1.0,2.5,3.25,3.7,3.5714285714285716
2.0,5.0,1.0,1.2999999999999998,2.125,1.45,1.8571428571428572
1.0,4.0,2.0,3.6999999999999997,1.0,2.8,1.4285714285714284
2.0,2.0,3.0,4.300000000000001,1.0,1.9,3.142857142857143
2.0,3.0,1.0,3.1,2.125,4.15,2.7142857142857144
2.0,3.0,3.0,4.300000000000001,1.0,1.45,3.142857142857143
1.0,3.0,1.0,3.4,1.0,3.25,2.7142857142857144
2.0,3.0,3.0,4.300000000000001,2.125,1.9,3.142857142857143
1.0,4.0,3.0,4.0,1.0,1.9,3.142857142857143
2.0,3.0,2.0,3.1,1.0,7.3,1.4285714285714284
1.0,3.0,1.0,3.4,1.0,3.7,3.5714285714285716
1.0,1.0,1.0,2.8,1.0,3.7,3.5714285714285716
1.0,3.0,2.0,3.6999999999999997,1.0,2.8,1.4285714285714284
2.0,2.0,3.0,1.9,1.0,4.6,3.5714285714285716
1.0,5.0,1.0,3.4,1.0,1.0,3.142857142857143
2.0,3.0,1.0,2.8,1.0,2.35,2.7142857142857144
2.0,2.0,3.0,4.300000000000001,3.25,3.7,3.142857142857143
2.0,5.0,1.0,3.6999999999999997,1.0,1.0,2.2857142857142856
2.0,4.0,3.0,4.6,1.0,3.25,3.142857142857143
2.0,2.0,1.0,2.5,1.0,4.6,3.5714285714285716
2.0,2.0,1.0,3.1,3.25,4.15,2.7142857142857144
1.0,3.0,2.0,10.0,1.0,2.8,3.142857142857143
1.0,2.0,1.0,2.5,3.25,3.7,3.142857142857143
1.0,3.0,1.0,4.0,1.0,2.8,2.2857142857142856
2.0,3.0,2.0,1.5999999999999999,2.125,2.35,1.8571428571428572
1.0,2.0,1.0,1.9,1.0,3.7,3.5714285714285716
1.0,4.0,1.0,3.1,1.0,6.4,2.7142857142857144
1.0,3.0,1.0,2.8,2.125,4.15,3.142857142857143
2.0,1.0,1.0,2.5,2.125,2.8,1.8571428571428572
1.0,4.0,1.0,4.0,2.125,4.15,2.2857142857142856
2.0,4.0,1.0,4.300000000000001,1.0,3.25,3.142857142857143
1.0,4.0,1.0,2.8,2.125,5.95,1.8571428571428572
1.0,5.0,2.0,6.699999999999999,1.0,3.25,3.142857142857143
1.0,2.0,1.0,3.4,3.25,4.6,3.5714285714285716
2.0,2.0,1.0,1.9,2.125,3.7,2.7142857142857144
2.0,4.0,1.0,3.1,2.125,2.8,2.7142857142857144
1.0,1.0,1.0,2.8,1.0,3.7,4.0
1.0,3.0,1.0,3.1,1.0,4.6,3.142857142857143
2.0,4.0,1.0,3.4,1.0,2.8,2.7142857142857144
2.0,4.0,4.0,2.5,1.0,1.9,4.428571428571429
2.0,4.0,2.0,3.4,4.375,1.45,2.7142857142857144
2.0,2.0,2.0,3.1,1.0,4.15,3.142857142857143
2.0,2.0,3.0,2.2,1.0,4.6,3.5714285714285716
1.0,5.0,1.0,3.4,1.0,1.45,4.857142857142858
1.0,3.0,1.0,3.1,8.875,4.6,2.7142857142857144
2.0,1.0,2.0,7.8999999999999995,1.0,5.95,2.7142857142857144
2.0,2.0,1.0,6.3999999999999995,1.0,3.25,4.428571428571429
2.0,2.0,3.0,3.6999999999999997,1.0,2.8,3.5714285714285716
1.0,3.0,4.0,3.6999999999999997,1.0,2.35,2.2857142857142856
1.0,1.0,3.0,3.4,2.125,4.15,1.8571428571428572
1.0,3.0,1.0,7.0,1.0,2.35,5.714285714285714
2.0,3.0,4.0,2.5,1.0,2.35,1.4285714285714284
1.0,1.0,4.0,7.0,2.125,3.7,5.714285714285714
2.0,3.0,1.0,3.1,1.0,3.25,2.2857142857142856
1.0,5.0,1.0,3.6999999999999997,2.125,3.7,2.2857142857142856
1.0,4.0,2.0,3.6999999999999997,1.0,4.6,3.142857142857143
2.0,2.0,1.0,3.4,1.0,2.8,3.142857142857143
2.0,3.0,2.0,3.1,2.125,3.7,3.142857142857143
1.0,2.0,4.0,1.9,4.375,4.6,1.8571428571428572
1.0,2.0,1.0,4.300000000000001,2.125,3.7,2.7142857142857144
1.0,4.0,1.0,3.1,2.125,4.6,3.142857142857143
1.0,2.0,3.0,1.9,1.0,2.8,3.142857142857143
2.0,2.0,2.0,6.3999999999999995,3.25,2.8,4.857142857142858
2.0,3.0,2.0,6.3999999999999995,1.0,9.1,4.428571428571429
1.0,2.0,2.0,4.0,3.25,4.15,1.8571428571428572
2.0,4.0,2.0,3.4,1.0,6.4,2.7142857142857144
2.0,3.0,2.0,2.8,2.125,5.95,5.285714285714286
1.0,2.0,4.0,8.5,1.0,5.95,2.2857142857142856
1.0,4.0,1.0,2.5,1.0,2.8,2.2857142857142856
2.0,4.0,1.0,2.8,1.0,2.35,3.5714285714285716
2.0,2.0,1.0,3.1,1.0,2.8,3.142857142857143
1.0,4.0,3.0,3.4,2.125,3.7,3.5714285714285716
1.0,4.0,2.0,3.1,1.0,4.6,4.857142857142858
1.0,3.0,3.0,3.1,2.125,5.5,3.5714285714285716
1.0,3.0,2.0,5.2,1.0,3.7,1.8571428571428572
2.0,3.0,1.0,2.5,1.0,4.15,3.142857142857143
2.0,4.0,2.0,5.8,2.125,3.25,1.8571428571428572
1.0,4.0,2.0,5.8,2.125,3.25,1.8571428571428572
2.0,3.0,1.0,4.300000000000001,1.0,3.25,2.2857142857142856
1.0,3.0,2.0,3.1,1.0,4.6,4.857142857142858
2.0,1.0,1.0,3.6999999999999997,3.25,3.25,2.7142857142857144
2.0,5.0,1.0,2.5,2.125,2.8,2.2857142857142856
1.0,5.0,1.0,2.8,2.125,4.6,1.8571428571428572
2.0,2.0,3.0,4.300000000000001,1.0,1.45,1.8571428571428572
1.0,2.0,3.0,2.8,3.25,3.25,1.8571428571428572
2.0,2.0,1.0,2.2,1.0,5.95,2.7142857142857144
2.0,2.0,1.0,3.4,2.125,4.15,2.7142857142857144
1.0,3.0,2.0,2.5,1.0,4.15,3.142857142857143
1.0,5.0,1.0,1.2999999999999998,1.0,2.8,2.2857142857142856
2.0,4.0,1.0,2.8,1.0,2.35,1.4285714285714284
2.0,1.0,3.0,3.1,2.125,6.85,3.142857142857143
2.0,5.0,1.0,3.1,2.125,3.25,2.2857142857142856
2.0,4.0,4.0,5.2,1.0,4.15,2.7142857142857144
2.0,4.0,1.0,3.1,1.0,1.45,1.4285714285714284
1.0,3.0,3.0,2.8,1.0,1.45,2.7142857142857144
1.0,2.0,1.0,2.5,1.0,2.8,1.8571428571428572
1.0,2.0,4.0,2.8,3.25,3.7,1.4285714285714284
2.0,3.0,1.0,3.1,1.0,2.8,2.2857142857142856
2.0,3.0,1.0,2.8,2.125,3.25,2.2857142857142856
1.0,5.0,1.0,4.0,1.0,1.45,2.7142857142857144
2.0,3.0,1.0,2.8,2.125,7.75,2.2857142857142856
